1.28, 2.19, 1.67 | 1.23, 2.21, 1.82 | 0.043501488864421844, 0.562227725982666, 0.06086158752441406 | 0.04400122270674088, 0.5603347052597775, -8.765255419761477E-4
1.27, 2.20, 1.71 | 1.24, 2.21, 1.82 | -0.06592797487974167, -0.4485582411289215, 0.02344799041748047 | -0.056952063227471705, -0.44371007307762056, -0.0010795784258562863
1.26, 2.21, 1.75 | 1.24, 2.21, 1.82 | -0.033405981957912445, 0.0445672869682312, 0.01774120330810547 | -0.04467450427233588, -0.04565151407027673, -0.0012135408755996693
1.25, 2.21, 1.77 | 1.24, 2.21, 1.82 | 0.06579621881246567, -0.12530206143856049, 0.007378578186035156 | 0.02205622411215881, -0.12166496264174118, -0.001326024111341064
1.25, 2.21, 1.76 | 1.25, 2.21, 1.82 | 0.01992679201066494, -0.18081846833229065, -0.03890514373779297 | 0.02056649037905185, -0.17920050107865215, -0.001515710852544377
1.25, 2.22, 1.80 | 1.25, 2.21, 1.82 | -0.011920709162950516, -0.06474177539348602, -0.04466438293457031 | 0.004190244008125538, -0.07853001992333325, -0.0016260557650065231
1.25, 2.24, 1.82 | 1.25, 2.22, 1.82 | -0.06023077666759491, -0.10919234156608582, -0.05944061279296875 | -0.034025481390563744, -0.10772965134076953, -0.0016805203275280694
1.24, 2.23, 1.82 | 1.25, 2.22, 1.82 | -0.03127435967326164, 0.11934524774551392, 0.03777313232421875 | -0.03240924576036774, 0.10713725134073682, -0.0016556785077347816
1.26, 2.21, 1.75 | 1.25, 2.22, 1.82 | 0.04323360323905945, -0.019452795386314392, -0.04063987731933594 | 8.045291306831293E-4, 0.0022035267885978094, -0.001934566142808119
1.23, 2.22, 1.78 | 1.24, 2.22, 1.82 | 0.04494817927479744, -0.07364258170127869, -0.03045368194580078 | 0.021180356584676582, -0.06620662686537508, -0.0021047463679816185
1.24, 2.22, 1.76 | 1.24, 2.22, 1.82 | -0.04704694822430611, 0.011925995349884033, -0.030965805053710938 | -0.005122854001593971, -0.0030519965117851017, -0.0023401534402435623
1.23, 2.23, 1.78 | 1.24, 2.22, 1.81 | -0.054682690650224686, 0.014121651649475098, -0.03620624542236328 | -0.023915540560654962, 0.011399569253509998, -0.00249474886915213
1.22, 2.24, 1.80 | 1.23, 2.23, 1.81 | 0.006174162961542606, -0.06723643839359283, -0.03972148895263672 | -0.011680221395632384, -0.0573799401049901, -0.0025949533380038
1.22, 2.23, 1.78 | 1.23, 2.23, 1.81 | 0.05527824908494949, -0.0822945237159729, -0.053142547607421875 | 0.022443814767032763, -0.08057943667456782, -0.00275294858553076
1.23, 2.23, 1.77 | 1.23, 2.23, 1.81 | -0.10404735058546066, -0.03515973687171936, 0.0036602020263671875 | -0.04419640471718812, -0.03840246397320301, -0.002930169266246912
1.23, 2.23, 1.77 | 1.23, 2.23, 1.81 | -0.06906769424676895, -0.016995757818222046, -0.013458251953125 | -0.05516281859375234, -0.019981780643747286, -0.0031177353291674797
1.21, 2.24, 1.82 | 1.22, 2.23, 1.81 | -0.0170014426112175, -0.08371061086654663, -0.1429586410522461 | -0.030499813055748056, -0.08155716906932765, -0.003167944343615572
1.22, 2.22, 1.78 | 1.22, 2.23, 1.80 | -0.1219998374581337, -0.20940522849559784, -0.068359375 | -0.10300370730225483, -0.20744958183375184, -0.0033545862828293143
