0.24, 2.67, 2.01 | 0.24, 2.67, 2.01 | 0.00, 0.00, -9.81 | -0.00, -0.00, -0.00
0.25, 2.66, 2.02 | 0.25, 2.66, 2.01 | 0.56, -0.93, -0.11 | 0.55, -0.93, -0.00
0.24, 2.64, 2.01 | 0.25, 2.64, 2.01 | 0.39, -0.57, -0.21 | 0.39, -0.57, -0.00
0.26, 2.64, 1.87 | 0.26, 2.63, 2.01 | 0.23, -0.59, -0.28 | 0.24, -0.59, -0.00
0.29, 2.64, 1.74 | 0.28, 2.63, 2.01 | -0.11, -0.44, 0.23 | -0.09, -0.44, -0.00
0.33, 2.62, 1.67 | 0.32, 2.61, 2.01 | -0.03, -0.38, 0.88 | -0.03, -0.38, -0.00
0.37, 2.57, 1.53 | 0.36, 2.58, 2.01 | 0.09, 1.06, 1.29 | 0.09, 1.06, -0.00
0.39, 2.55, 1.46 | 0.39, 2.55, 2.01 | -0.32, 0.62, -0.02 | -0.30, 0.62, -0.00
0.43, 2.54, 1.40 | 0.42, 2.54, 2.01 | -1.08, 0.82, -0.53 | -1.08, 0.81, -0.00
0.46, 2.52, 1.34 | 0.45, 2.52, 2.01 | -0.13, 0.45, -0.72 | -0.16, 0.45, -0.00
0.47, 2.50, 1.30 | 0.47, 2.50, 2.01 | -0.16, -0.92, -0.94 | -0.16, -0.92, -0.00
0.48, 2.50, 1.24 | 0.48, 2.50, 2.01 | -0.10, 0.10, -0.26 | -0.11, 0.09, -0.00
0.49, 2.49, 1.24 | 0.49, 2.49, 2.01 | -0.60, -0.51, 0.33 | -0.59, -0.51, -0.00
0.49, 2.48, 1.20 | 0.49, 2.48, 2.01 | -0.03, 0.51, 1.31 | -0.04, 0.51, -0.00
0.50, 2.48, 1.21 | 0.49, 2.47, 2.01 | 0.53, 0.71, 0.68 | 0.52, 0.71, -0.00
0.50, 2.47, 1.19 | 0.50, 2.47, 2.00 | 0.44, 1.39, -0.28 | 0.44, 1.39, -0.01
0.50, 2.47, 1.20 | 0.50, 2.47, 2.00 | 0.99, 0.36, -0.74 | 0.99, 0.36, -0.01
0.51, 2.47, 1.19 | 0.51, 2.47, 1.99 | 0.18, -0.02, -0.32 | 0.27, -0.01, -0.01
0.51, 2.47, 1.20 | 0.52, 2.47, 1.99 | 0.24, -0.26, -0.08 | 0.24, -0.26, -0.01
0.51, 2.47, 1.20 | 0.52, 2.47, 1.98 | 0.57, -0.51, 0.43 | 0.56, -0.51, -0.01
0.49, 2.45, 1.17 | 0.51, 2.46, 1.98 | 0.42, -0.45, 1.19 | 0.43, -0.45, -0.01
