0.90, 1.72, 0.21 | 0.89, 1.71, 0.21 | -0.00, 0.01, 0.04 | -0.00, 0.01, 0.00
0.88, 1.73, 0.21 | 0.89, 1.72, 0.21 | -0.03, 0.01, 0.22 | -0.01, 0.01, 0.00
0.88, 1.71, 0.19 | 0.89, 1.72, 0.21 | -0.01, 0.03, 0.16 | -0.01, 0.02, 0.00
0.83, 1.66, 0.16 | 0.88, 1.71, 0.21 | 0.01, 0.01, 0.19 | -0.01, 0.01, 0.00
0.82, 1.66, 0.16 | 0.87, 1.70, 0.21 | -0.03, 0.01, 0.19 | -0.02, 0.01, 0.00
0.84, 1.66, 0.18 | 0.86, 1.69, 0.21 | -0.01, 0.01, 0.18 | -0.01, 0.01, 0.00
0.86, 1.65, 0.16 | 0.86, 1.68, 0.21 | 0.01, 0.01, 0.17 | -0.01, 0.01, 0.00
0.86, 1.68, 0.18 | 0.86, 1.68, 0.21 | -0.00, 0.01, 0.16 | -0.00, 0.01, 0.00
0.85, 1.70, 0.16 | 0.86, 1.68, 0.21 | -0.03, 0.01, 0.17 | -0.01, 0.01, 0.00
0.87, 1.70, 0.19 | 0.86, 1.69, 0.21 | -0.01, -0.01, 0.17 | -0.01, -0.01, 0.00
0.88, 1.72, 0.20 | 0.86, 1.69, 0.21 | -0.03, 0.01, 0.14 | -0.02, 0.01, 0.00
0.88, 1.71, 0.20 | 0.86, 1.70, 0.21 | 0.00, 0.01, 0.07 | -0.01, 0.01, 0.00
0.90, 1.73, 0.22 | 0.86, 1.70, 0.21 | 0.00, -0.00, 0.17 | -0.01, 0.00, 0.00
0.90, 1.74, 0.21 | 0.87, 1.71, 0.21 | -0.01, 0.01, 0.19 | -0.01, 0.01, 0.00
0.89, 1.73, 0.21 | 0.87, 1.72, 0.21 | -0.02, 0.01, 0.20 | -0.01, 0.01, 0.00
0.88, 1.69, 0.20 | 0.87, 1.71, 0.21 | 0.01, 0.01, 0.19 | -0.01, 0.01, 0.00
0.89, 1.70, 0.22 | 0.87, 1.71, 0.21 | -0.02, -0.01, 0.18 | -0.01, -0.00, 0.00
