0.90, 1.73, 0.25 | 0.92, 1.73, 0.26 | 0.03, 0.02, 0.32 | 0.03, 0.02, 0.00
0.90, 1.72, 0.21 | 0.92, 1.72, 0.26 | 0.03, 0.01, 0.16 | 0.03, 0.01, 0.00
0.92, 1.72, 0.23 | 0.92, 1.72, 0.26 | 0.03, 0.00, 0.18 | 0.03, 0.01, 0.00
0.94, 1.73, 0.23 | 0.92, 1.72, 0.26 | 0.01, -0.01, 0.19 | 0.02, -0.00, 0.00
0.94, 1.72, 0.24 | 0.92, 1.72, 0.26 | 0.02, 0.00, 0.18 | 0.02, 0.00, 0.00
0.94, 1.72, 0.25 | 0.93, 1.72, 0.26 | 0.04, 0.01, 0.20 | 0.03, 0.01, 0.00
0.94, 1.73, 0.25 | 0.93, 1.72, 0.26 | 0.01, 0.01, 0.20 | 0.02, 0.01, 0.00
0.94, 1.73, 0.24 | 0.94, 1.73, 0.26 | 0.01, -0.01, 0.19 | 0.02, -0.01, 0.00
0.93, 1.72, 0.25 | 0.94, 1.72, 0.26 | 0.01, -0.01, 0.16 | 0.02, -0.01, 0.00
0.91, 1.70, 0.22 | 0.93, 1.72, 0.26 | 0.01, 0.02, 0.20 | 0.01, 0.01, 0.00
0.91, 1.70, 0.24 | 0.93, 1.71, 0.26 | 0.01, -0.04, 0.20 | 0.01, -0.03, 0.00
0.91, 1.71, 0.22 | 0.93, 1.71, 0.26 | -0.13, -0.03, 0.23 | -0.05, -0.03, 0.00
0.91, 1.72, 0.23 | 0.93, 1.71, 0.26 | 0.03, 0.09, 0.16 | -0.02, 0.07, 0.00
0.89, 1.69, 0.23 | 0.92, 1.71, 0.26 | 0.10, -0.04, 0.19 | 0.03, -0.02, 0.00
0.89, 1.69, 0.23 | 0.92, 1.70, 0.26 | -0.01, 0.06, 0.13 | 0.01, 0.04, 0.00
0.89, 1.68, 0.21 | 0.91, 1.70, 0.26 | 0.02, -0.08, 0.17 | 0.02, -0.06, 0.00
0.87, 1.69, 0.21 | 0.91, 1.70, 0.26 | -0.03, -0.01, 0.16 | 0.00, -0.02, -0.00
0.88, 1.68, 0.20 | 0.90, 1.69, 0.26 | 0.10, 0.08, 0.18 | 0.04, 0.07, -0.00
0.85, 1.68, 0.13 | 0.89, 1.69, 0.26 | 0.01, -0.04, 0.26 | 0.03, -0.03, -0.00
0.86, 1.68, 0.13 | 0.89, 1.68, 0.26 | -0.02, 0.04, 0.22 | 0.01, 0.03, -0.00
0.87, 1.69, 0.15 | 0.88, 1.68, 0.26 | 0.11, 0.09, 0.17 | 0.05, 0.08, -0.00
0.88, 1.69, 0.17 | 0.88, 1.68, 0.26 | -0.01, -0.04, 0.14 | 0.03, -0.01, -0.00
0.90, 1.69, 0.19 | 0.88, 1.68, 0.26 | 0.03, 0.06, 0.22 | 0.03, 0.05, -0.00
0.91, 1.70, 0.18 | 0.89, 1.69, 0.26 | -0.02, -0.08, 0.20 | 0.01, -0.06, -0.00
0.91, 1.71, 0.18 | 0.89, 1.69, 0.26 | -0.06, -0.13, 0.23 | -0.02, -0.13, -0.00
0.92, 1.71, 0.19 | 0.90, 1.69, 0.26 | 0.15, 0.09, 0.22 | 0.06, 0.07, -0.00
0.89, 1.72, 0.18 | 0.90, 1.70, 0.26 | -0.05, -0.06, 0.20 | 0.01, -0.04, -0.00
0.90, 1.73, 0.19 | 0.90, 1.70, 0.26 | -0.09, 0.00, 0.20 | -0.03, -0.00, -0.00
0.91, 1.73, 0.16 | 0.90, 1.71, 0.26 | 0.16, -0.15, 0.20 | 0.05, -0.14, -0.00
0.91, 1.71, 0.14 | 0.90, 1.71, 0.26 | 0.09, 0.04, 0.20 | 0.07, 0.02, -0.00
0.91, 1.72, 0.18 | 0.91, 1.71, 0.26 | 0.03, -0.02, 0.20 | 0.05, -0.02, -0.00
0.92, 1.72, 0.20 | 0.91, 1.71, 0.26 | 0.14, -0.02, 0.12 | 0.08, -0.02, -0.00
0.86, 1.68, 0.19 | 0.91, 1.70, 0.26 | -0.05, 0.06, 0.16 | 0.04, 0.04, -0.00
0.86, 1.66, 0.19 | 0.90, 1.69, 0.26 | 0.07, -0.22, 0.29 | 0.05, -0.20, -0.00
0.88, 1.68, 0.20 | 0.90, 1.69, 0.26 | 0.01, 0.17, 0.08 | 0.03, 0.11, -0.00
