1.22, 3.75, 1.19 | 1.21, 3.74, 1.23 | 0.08, 0.01, -0.03 | 0.06, 0.01, -0.00
1.21, 3.76, 1.17 | 1.21, 3.74, 1.23 | 0.05, -0.01, -0.03 | 0.05, -0.01, -0.00
1.21, 3.75, 1.20 | 1.22, 3.74, 1.23 | 0.06, -0.00, -0.02 | 0.06, -0.00, -0.00
1.20, 3.77, 1.27 | 1.21, 3.75, 1.23 | 0.06, 0.02, -0.03 | 0.06, 0.01, -0.00
1.20, 3.78, 1.30 | 1.21, 3.76, 1.23 | 0.05, -0.02, -0.03 | 0.05, -0.01, -0.00
1.20, 3.78, 1.35 | 1.21, 3.76, 1.23 | 0.04, -0.01, -0.02 | 0.05, -0.01, -0.00
1.21, 3.78, 1.29 | 1.22, 3.77, 1.23 | 0.04, 0.01, -0.04 | 0.05, 0.01, -0.00
1.22, 3.78, 1.23 | 1.22, 3.77, 1.23 | 0.02, -0.00, -0.04 | 0.04, 0.00, -0.00
1.22, 3.79, 1.20 | 1.22, 3.78, 1.23 | 0.01, 0.01, -0.03 | 0.03, 0.01, -0.00
1.22, 3.76, 1.17 | 1.22, 3.78, 1.23 | 0.02, -0.01, -0.04 | 0.03, -0.01, -0.00
1.21, 3.74, 1.21 | 1.23, 3.77, 1.23 | 0.03, 0.00, -0.03 | 0.03, 0.00, -0.00
1.22, 3.75, 1.19 | 1.23, 3.77, 1.23 | 0.04, 0.00, -0.02 | 0.03, 0.00, -0.00
1.22, 3.73, 1.22 | 1.23, 3.76, 1.23 | 0.02, -0.01, -0.04 | 0.03, -0.01, -0.00
1.23, 3.71, 1.23 | 1.23, 3.75, 1.23 | 0.01, -0.00, -0.02 | 0.02, -0.00, -0.00
1.22, 3.73, 1.28 | 1.24, 3.75, 1.23 | 0.02, 0.00, -0.01 | 0.02, 0.00, -0.00
1.23, 3.74, 1.26 | 1.24, 3.75, 1.23 | 0.01, 0.01, -0.01 | 0.02, 0.01, -0.00
1.22, 3.73, 1.29 | 1.24, 3.74, 1.23 | 0.02, 0.02, -0.02 | 0.02, 0.01, -0.00
1.23, 3.74, 1.28 | 1.24, 3.74, 1.23 | 0.02, 0.00, -0.02 | 0.02, 0.01, -0.00
1.24, 3.74, 1.23 | 1.24, 3.74, 1.23 | 0.01, -0.01, -0.03 | 0.02, -0.00, -0.00
1.23, 3.76, 1.24 | 1.25, 3.74, 1.23 | 0.01, 0.00, -0.02 | 0.02, -0.00, -0.00
1.20, 3.77, 1.32 | 1.24, 3.75, 1.23 | 0.01, -0.00, -0.02 | 0.02, -0.00, -0.00
1.20, 3.76, 1.34 | 1.24, 3.75, 1.23 | -0.01, 0.00, -0.03 | 0.01, 0.00, 0.00
1.20, 3.76, 1.37 | 1.24, 3.75, 1.23 | 0.01, -0.01, -0.03 | 0.01, -0.00, 0.00
1.23, 3.76, 1.34 | 1.24, 3.75, 1.23 | -0.01, -0.00, -0.02 | 0.01, -0.00, 0.00
1.22, 3.76, 1.33 | 1.24, 3.75, 1.23 | 0.02, -0.00, -0.03 | 0.01, -0.00, 0.00
1.22, 3.81, 1.23 | 1.24, 3.76, 1.23 | 0.00, 0.01, -0.05 | 0.01, 0.00, 0.00
1.22, 3.84, 1.19 | 1.24, 3.77, 1.23 | 0.00, 0.01, -0.02 | 0.01, 0.00, 0.00
1.22, 3.82, 1.19 | 1.24, 3.78, 1.23 | 0.00, -0.01, -0.01 | 0.01, -0.00, 0.00
1.21, 3.84, 1.25 | 1.24, 3.79, 1.23 | -0.01, -0.00, -0.03 | 0.00, -0.00, 0.00
1.20, 3.86, 1.24 | 1.24, 3.80, 1.23 | 0.01, -0.00, -0.02 | 0.00, -0.00, 0.00
1.19, 3.87, 1.29 | 1.23, 3.81, 1.23 | -0.01, -0.03, -0.04 | 0.00, -0.02, 0.00
1.21, 3.89, 1.21 | 1.23, 3.82, 1.23 | 0.00, -0.01, -0.03 | 0.00, -0.01, 0.00
1.22, 3.89, 1.23 | 1.23, 3.83, 1.23 | 0.01, 0.00, -0.04 | 0.00, -0.00, 0.00
1.21, 3.92, 1.28 | 1.23, 3.85, 1.23 | 0.00, 0.00, -0.04 | 0.00, 0.00, 0.00
1.18, 3.96, 1.37 | 1.23, 3.87, 1.24 | -0.10, -0.03, -0.05 | -0.04, -0.03, 0.00
1.16, 3.99, 1.39 | 1.22, 3.89, 1.24 | 0.12, 0.03, 0.08 | 0.06, 0.03, 0.00
1.17, 3.99, 1.33 | 1.21, 3.93, 1.25 | -0.16, 0.10, 0.41 | -0.15, 0.10, 0.00
1.18, 4.00, 1.35 | 1.19, 3.99, 1.25 | -1.93, 0.16, -0.80 | -1.92, 0.16, 0.00
1.17, 3.98, 1.38 | 1.17, 3.98, 1.27 | -0.99, 0.72, 1.91 | -0.99, 0.72, 0.00
1.16, 3.94, 1.35 | 1.15, 3.96, 1.27 | -0.75, 0.26, 0.50 | -0.75, 0.26, 0.01
1.10, 3.92, 1.46 | 1.11, 3.92, 1.29 | -1.68, 0.30, 0.40 | -1.67, 0.30, 0.01
1.04, 3.92, 1.53 | 1.05, 3.92, 1.30 | -0.39, -0.57, 0.27 | -0.44, -0.57, 0.01
0.99, 3.89, 1.62 | 0.99, 3.90, 1.32 | 0.36, -1.12, -0.28 | 0.35, -1.12, 0.01
0.87, 3.90, 1.77 | 0.89, 3.90, 1.34 | 0.89, -1.07, -0.41 | 0.88, -1.07, 0.01
0.85, 3.80, 1.78 | 0.85, 3.81, 1.37 | 0.83, 1.32, 1.22 | 0.83, 1.32, 0.01
0.85, 3.63, 1.60 | 0.83, 3.65, 1.40 | 0.67, 1.47, 0.64 | 0.67, 1.47, 0.02
0.85, 3.51, 1.51 | 0.84, 3.52, 1.40 | 1.66, 0.33, -1.27 | 1.65, 0.33, 0.02
0.89, 3.38, 1.43 | 0.87, 3.40, 1.41 | 0.77, 1.86, -0.04 | 0.77, 1.86, 0.02
0.91, 3.29, 1.43 | 0.89, 3.31, 1.42 | -0.29, 1.21, -0.31 | -0.28, 1.21, 0.02
0.96, 3.19, 1.38 | 0.94, 3.21, 1.42 | 0.22, 1.36, -0.53 | 0.22, 1.36, 0.01
1.00, 3.08, 1.43 | 0.98, 3.09, 1.43 | -0.84, 1.41, 0.45 | -0.84, 1.41, 0.02
1.06, 3.00, 1.38 | 1.04, 3.01, 1.44 | -1.01, 1.24, 0.62 | -1.01, 1.24, 0.02
1.12, 2.92, 1.36 | 1.09, 2.94, 1.44 | -0.57, 0.50, -0.49 | -0.58, 0.50, 0.01
1.19, 2.86, 1.41 | 1.18, 2.86, 1.45 | -2.40, 0.67, 2.65 | -2.40, 0.67, 0.02
1.16, 2.77, 1.52 | 1.16, 2.78, 1.47 | -1.16, -1.82, -0.01 | -1.16, -1.82, 0.02
1.24, 2.83, 1.36 | 1.20, 2.81, 1.47 | -0.53, 0.03, 0.67 | -0.55, 0.03, 0.02
1.26, 2.80, 1.41 | 1.25, 2.80, 1.47 | -2.03, -1.28, -0.71 | -2.03, -1.28, 0.01
1.30, 2.73, 1.39 | 1.27, 2.74, 1.48 | 0.35, 0.19, 0.16 | 0.14, 0.18, 0.01
1.33, 2.68, 1.39 | 1.30, 2.69, 1.48 | 0.45, -1.10, 0.22 | 0.44, -1.10, 0.01
