1.18, 3.73, 1.16 | 1.18, 3.73, 1.15 | 0.00, -0.00, -0.03 | 0.00, -0.00, -0.00
1.18, 3.73, 1.15 | 1.18, 3.73, 1.15 | 0.02, -0.01, -0.02 | 0.01, -0.01, -0.00
1.19, 3.73, 1.14 | 1.18, 3.73, 1.15 | 0.00, -0.01, -0.03 | 0.01, -0.01, -0.00
1.20, 3.75, 1.13 | 1.19, 3.73, 1.15 | 0.01, -0.02, -0.03 | 0.01, -0.01, -0.00
1.20, 3.77, 1.11 | 1.19, 3.74, 1.15 | -0.01, -0.01, -0.03 | 0.01, -0.01, -0.00
1.19, 3.77, 1.17 | 1.19, 3.75, 1.15 | 0.03, -0.01, -0.03 | 0.01, -0.01, -0.00
1.17, 3.77, 1.21 | 1.19, 3.75, 1.15 | 0.02, 0.00, -0.02 | 0.01, -0.00, -0.00
1.17, 3.77, 1.20 | 1.19, 3.76, 1.15 | 0.01, 0.01, -0.03 | 0.01, 0.01, -0.00
1.17, 3.75, 1.16 | 1.18, 3.76, 1.15 | 0.00, -0.00, -0.02 | 0.01, 0.00, -0.00
1.16, 3.75, 1.22 | 1.18, 3.76, 1.15 | 0.00, -0.01, -0.03 | 0.01, -0.00, -0.00
1.16, 3.73, 1.19 | 1.18, 3.75, 1.15 | 0.00, -0.02, -0.02 | 0.01, -0.02, -0.00
1.15, 3.74, 1.26 | 1.17, 3.75, 1.16 | 0.00, -0.01, -0.04 | 0.01, -0.01, -0.00
1.15, 3.74, 1.28 | 1.17, 3.75, 1.16 | 0.00, -0.00, -0.03 | 0.01, -0.01, 0.00
1.15, 3.77, 1.30 | 1.16, 3.75, 1.16 | -0.02, -0.01, -0.03 | 0.00, -0.01, 0.00
1.14, 3.79, 1.30 | 1.16, 3.76, 1.16 | -0.02, -0.01, -0.03 | -0.00, -0.01, 0.00
1.11, 3.80, 1.33 | 1.15, 3.77, 1.16 | 0.01, -0.01, -0.02 | -0.00, -0.01, 0.00
1.11, 3.81, 1.34 | 1.14, 3.78, 1.16 | -0.00, -0.00, -0.03 | -0.00, -0.00, 0.00
1.10, 3.84, 1.35 | 1.14, 3.79, 1.16 | -0.00, -0.02, -0.00 | -0.00, -0.01, 0.00
1.11, 3.86, 1.35 | 1.13, 3.81, 1.16 | 0.19, -0.01, -0.10 | 0.13, -0.01, 0.00
1.10, 3.87, 1.39 | 1.11, 3.86, 1.16 | -0.68, 0.17, -1.91 | -0.68, 0.17, 0.00
1.09, 3.89, 1.47 | 1.10, 3.88, 1.16 | -0.09, 0.50, 0.32 | -0.12, 0.50, 0.00
1.07, 3.90, 1.49 | 1.08, 3.89, 1.16 | -0.46, 0.48, 0.71 | -0.46, 0.48, 0.00
1.05, 3.91, 1.55 | 1.05, 3.91, 1.16 | -2.18, 0.57, 0.83 | -2.18, 0.57, 0.00
1.06, 3.88, 1.47 | 1.05, 3.89, 1.16 | -1.25, 0.61, -0.81 | -1.26, 0.61, 0.00
1.01, 3.87, 1.55 | 1.01, 3.88, 1.16 | -1.89, -0.28, 0.80 | -1.89, -0.28, 0.00
0.97, 3.84, 1.62 | 0.96, 3.86, 1.16 | -0.04, 0.12, 0.37 | -0.23, 0.12, 0.00
0.97, 3.72, 1.48 | 0.95, 3.74, 1.16 | -0.24, 1.57, 0.88 | -0.24, 1.57, 0.00
