1.03, 2.86, 1.65 | 1.05, 2.90, 1.81 | -0.13, -0.20, -0.19 | -0.05, -0.19, -0.00
1.03, 2.90, 1.70 | 1.05, 2.89, 1.80 | -0.20, 0.24, 0.31 | -0.14, 0.22, -0.00
1.01, 2.91, 1.78 | 1.03, 2.89, 1.80 | -0.09, -0.35, 0.51 | -0.11, -0.33, -0.00
1.01, 2.93, 1.80 | 1.02, 2.91, 1.80 | 0.09, -0.88, -1.25 | 0.08, -0.87, -0.00
1.02, 2.95, 1.79 | 1.02, 2.92, 1.80 | 0.09, 0.12, 1.08 | 0.09, 0.11, -0.00
1.01, 2.92, 1.84 | 1.01, 2.91, 1.80 | 0.31, 0.57, 0.48 | 0.27, 0.56, -0.00
1.03, 2.90, 1.80 | 1.02, 2.90, 1.80 | -0.12, 0.12, 0.12 | 0.07, 0.19, -0.00
1.08, 2.87, 1.68 | 1.04, 2.88, 1.79 | 0.23, -0.11, -0.19 | 0.15, -0.08, -0.00
1.06, 2.90, 1.73 | 1.05, 2.88, 1.78 | 0.02, -0.23, 0.08 | 0.09, -0.21, -0.00
1.08, 2.88, 1.75 | 1.06, 2.87, 1.78 | -0.13, -0.14, -0.10 | 0.00, -0.15, -0.00
1.05, 2.90, 1.80 | 1.06, 2.87, 1.78 | 0.04, 0.22, 0.24 | 0.02, 0.19, -0.00
1.10, 2.87, 1.70 | 1.07, 2.87, 1.78 | -0.11, 0.14, -0.18 | -0.04, 0.14, -0.00
1.10, 2.86, 1.69 | 1.09, 2.86, 1.77 | -0.27, -0.25, -0.17 | -0.17, -0.23, -0.00
1.08, 2.87, 1.75 | 1.09, 2.86, 1.77 | -0.29, -0.38, 0.06 | -0.24, -0.38, -0.00
1.07, 2.90, 1.84 | 1.08, 2.86, 1.77 | -0.12, -0.30, -0.04 | -0.18, -0.30, -0.00
1.11, 2.86, 1.72 | 1.09, 2.86, 1.77 | -0.20, -0.48, -0.31 | -0.19, -0.48, -0.00
1.12, 2.88, 1.75 | 1.10, 2.85, 1.77 | -0.14, -0.29, -0.66 | -0.15, -0.29, -0.00
1.11, 2.87, 1.74 | 1.10, 2.84, 1.77 | -0.09, -0.06, -0.11 | -0.12, -0.11, -0.00
1.08, 2.87, 1.81 | 1.09, 2.85, 1.77 | -0.45, -1.35, 0.63 | -0.43, -1.35, -0.00
1.10, 2.81, 1.71 | 1.09, 2.82, 1.77 | 0.43, 0.47, 0.54 | 0.28, 0.44, -0.00
1.09, 2.79, 1.71 | 1.09, 2.79, 1.76 | 0.06, 0.06, -0.19 | 0.17, 0.12, -0.00
1.08, 2.80, 1.75 | 1.08, 2.77, 1.76 | 0.12, -0.06, -0.52 | 0.14, -0.05, -0.00
1.10, 2.75, 1.67 | 1.09, 2.75, 1.76 | 0.67, 0.55, 0.03 | 0.57, 0.54, -0.00
1.10, 2.77, 1.73 | 1.09, 2.74, 1.76 | 0.13, -0.07, 0.06 | 0.36, 0.07, -0.00
1.09, 2.76, 1.72 | 1.09, 2.73, 1.76 | -0.09, -0.15, -0.35 | 0.11, -0.14, -0.00
1.08, 2.73, 1.70 | 1.09, 2.72, 1.75 | -0.10, -0.03, 0.07 | 0.03, -0.06, -0.00
1.09, 2.68, 1.64 | 1.10, 2.69, 1.75 | -0.03, -0.74, -0.23 | -0.02, -0.73, -0.00
1.06, 2.65, 1.70 | 1.09, 2.66, 1.75 | -0.00, -0.23, 0.44 | -0.01, -0.25, -0.00
