0.80, 1.89, 1.30 | 0.80, 1.88, 1.32 | -0.00, 0.01, 0.21 | -0.00, 0.01, 0.00
0.78, 1.86, 1.31 | 0.80, 1.88, 1.32 | -0.02, 0.00, 0.19 | -0.01, 0.00, 0.00
0.79, 1.86, 1.35 | 0.80, 1.87, 1.32 | -0.02, 0.01, 0.23 | -0.01, 0.01, 0.00
0.79, 1.87, 1.38 | 0.80, 1.87, 1.32 | -0.00, -0.01, 0.21 | -0.01, -0.00, 0.00
0.81, 1.88, 1.38 | 0.80, 1.87, 1.32 | -0.01, -0.01, 0.22 | -0.01, -0.01, 0.00
0.81, 1.89, 1.37 | 0.80, 1.88, 1.32 | -0.02, -0.00, 0.25 | -0.01, -0.00, 0.00
0.81, 1.90, 1.41 | 0.80, 1.88, 1.32 | -0.01, -0.01, 0.22 | -0.01, -0.01, 0.00
0.81, 1.88, 1.42 | 0.80, 1.88, 1.32 | 0.01, -0.00, 0.20 | -0.00, -0.00, 0.00
0.82, 1.86, 1.40 | 0.80, 1.88, 1.32 | -0.02, -0.01, 0.22 | -0.01, -0.01, 0.00
0.83, 1.87, 1.35 | 0.81, 1.88, 1.32 | -0.02, -0.02, 0.24 | -0.02, -0.02, 0.00
0.84, 1.90, 1.29 | 0.81, 1.88, 1.32 | -0.00, -0.01, 0.22 | -0.01, -0.01, 0.00
0.83, 1.87, 1.32 | 0.81, 1.88, 1.32 | -0.02, -0.01, 0.21 | -0.01, -0.01, 0.00
0.83, 1.89, 1.36 | 0.82, 1.88, 1.32 | -0.01, -0.01, 0.25 | -0.01, -0.01, 0.00
0.81, 1.88, 1.35 | 0.81, 1.88, 1.32 | -0.01, -0.01, 0.21 | -0.01, -0.01, 0.00
0.82, 1.91, 1.42 | 0.81, 1.88, 1.32 | -0.02, 0.00, 0.23 | -0.01, -0.00, 0.00
0.90, 1.99, 1.54 | 0.83, 1.91, 1.32 | -0.01, 0.01, 0.23 | -0.01, 0.01, 0.00
0.95, 2.04, 1.63 | 0.85, 1.94, 1.32 | 0.02, -0.00, 0.25 | -0.00, -0.00, 0.00
0.89, 1.98, 1.55 | 0.86, 1.95, 1.32 | -0.01, -0.00, 0.25 | -0.00, -0.00, 0.00
0.87, 1.95, 1.48 | 0.86, 1.95, 1.32 | 0.01, -0.01, 0.24 | 0.00, -0.01, 0.00
0.89, 1.97, 1.47 | 0.87, 1.96, 1.32 | -0.00, -0.00, 0.26 | 0.00, -0.00, 0.00
