2.85, 0.19, 1.60 | 2.85, 0.20, 1.54 | 0.54, -1.95, 0.07 | 0.52, -1.95, 0.00
2.87, 0.18, 1.63 | 2.86, 0.18, 1.54 | -0.36, -0.63, -0.07 | -0.17, -0.66, 0.00
2.88, 0.17, 1.65 | 2.87, 0.16, 1.54 | -0.65, -0.63, -0.26 | -0.57, -0.63, -0.00
2.88, 0.18, 1.64 | 2.87, 0.16, 1.54 | -0.41, -0.99, -0.04 | -0.43, -0.98, -0.00
2.86, 0.18, 1.63 | 2.87, 0.14, 1.54 | 0.06, -0.21, 0.26 | -0.14, -0.27, 0.00
2.85, 0.19, 1.61 | 2.86, 0.13, 1.54 | -0.12, -0.44, 0.06 | -0.13, -0.43, 0.00
2.77, 0.29, 1.44 | 2.82, 0.16, 1.54 | 0.03, -0.50, 0.15 | -0.02, -0.49, 0.00
2.78, 0.25, 1.48 | 2.80, 0.16, 1.54 | -0.04, -0.16, 0.05 | -0.03, -0.23, 0.00
2.79, 0.22, 1.49 | 2.79, 0.16, 1.54 | -0.14, -0.14, 0.06 | -0.07, -0.16, -0.00
2.80, 0.21, 1.51 | 2.78, 0.15, 1.54 | 0.13, -0.24, 0.22 | 0.03, -0.23, 0.00
2.85, 0.16, 1.56 | 2.80, 0.13, 1.54 | 0.02, -0.52, 0.11 | 0.02, -0.51, 0.00
2.86, 0.15, 1.61 | 2.81, 0.11, 1.54 | 0.13, 0.08, 0.19 | 0.08, -0.00, 0.00
2.86, 0.16, 1.58 | 2.82, 0.10, 1.54 | 0.01, 0.03, 0.09 | 0.05, 0.02, 0.00
2.89, 0.14, 1.64 | 2.83, 0.09, 1.54 | -0.09, -0.11, 0.02 | 0.01, -0.08, 0.00
2.89, 0.14, 1.64 | 2.85, 0.08, 1.54 | 0.01, -0.02, -0.03 | 0.01, -0.05, 0.00
2.89, 0.14, 1.65 | 2.86, 0.08, 1.54 | 0.06, 0.05, 0.04 | 0.02, 0.01, 0.00
2.88, 0.16, 1.62 | 2.86, 0.08, 1.54 | 0.09, 0.04, 0.26 | 0.04, 0.03, 0.00
2.89, 0.15, 1.64 | 2.87, 0.08, 1.54 | -0.06, -0.18, 0.14 | 0.00, -0.16, 0.00
2.90, 0.14, 1.66 | 2.88, 0.08, 1.54 | -0.11, -0.31, 0.06 | -0.05, -0.30, 0.00
2.91, 0.14, 1.66 | 2.89, 0.08, 1.54 | 0.10, 0.03, 0.09 | 0.00, -0.05, 0.00
2.91, 0.17, 1.67 | 2.90, 0.09, 1.54 | 0.01, 0.07, -0.18 | 0.01, 0.05, 0.00
2.91, 0.18, 1.67 | 2.90, 0.10, 1.54 | -0.23, -0.17, 0.20 | -0.11, -0.16, 0.00
2.89, 0.19, 1.63 | 2.90, 0.11, 1.54 | 0.11, -0.24, 0.23 | 0.00, -0.23, 0.00
2.91, 0.18, 1.66 | 2.91, 0.11, 1.54 | -0.02, -0.13, -0.07 | -0.01, -0.16, 0.00
2.93, 0.15, 1.69 | 2.91, 0.11, 1.54 | 0.12, 0.10, 0.30 | 0.06, 0.08, 0.00
2.91, 0.17, 1.68 | 2.92, 0.11, 1.54 | 0.02, -0.33, 0.11 | 0.03, -0.30, 0.00
2.93, 0.21, 1.65 | 2.92, 0.12, 1.54 | -0.02, -0.05, 0.22 | 0.01, -0.09, 0.00
2.90, 0.20, 1.63 | 2.92, 0.13, 1.54 | 0.03, 0.22, 0.01 | 0.02, 0.18, 0.00
2.89, 0.20, 1.65 | 2.92, 0.13, 1.54 | -0.21, -0.11, -0.09 | -0.08, -0.07, 0.00
2.88, 0.20, 1.62 | 2.91, 0.14, 1.54 | 0.03, 0.23, 0.12 | -0.03, 0.20, 0.00
2.88, 0.20, 1.65 | 2.91, 0.14, 1.54 | -0.29, 0.06, -0.03 | -0.16, 0.07, 0.00
2.85, 0.23, 1.58 | 2.90, 0.16, 1.54 | 0.00, -0.13, 0.09 | -0.10, -0.08, 0.00
2.86, 0.24, 1.60 | 2.89, 0.17, 1.54 | 0.07, 0.15, 0.05 | -0.04, 0.10, 0.00
2.87, 0.23, 1.60 | 2.88, 0.18, 1.54 | -0.18, 0.31, -0.10 | -0.11, 0.30, 0.00
