1.05, 2.07, 1.65 | 1.01, 2.03, 1.32 | -0.17, -0.74, 0.08 | -0.15, -0.73, 0.00
1.07, 2.10, 1.71 | 1.03, 2.05, 1.32 | 0.14, -0.65, 0.22 | 0.07, -0.65, 0.00
1.10, 2.11, 1.69 | 1.05, 2.06, 1.32 | 0.08, -0.43, 0.19 | 0.08, -0.44, 0.00
1.04, 2.06, 1.64 | 1.05, 2.04, 1.32 | 0.07, -0.35, 0.19 | 0.07, -0.36, 0.00
1.04, 2.07, 1.62 | 1.05, 2.03, 1.32 | 0.05, -0.24, 0.23 | 0.06, -0.25, 0.00
1.08, 2.10, 1.69 | 1.05, 2.03, 1.32 | 0.04, -0.21, 0.24 | 0.05, -0.22, 0.00
1.08, 2.09, 1.67 | 1.06, 2.03, 1.32 | 0.03, -0.15, 0.22 | 0.04, -0.16, 0.00
1.13, 2.12, 1.72 | 1.08, 2.03, 1.32 | 0.06, -0.13, 0.21 | 0.05, -0.14, 0.00
1.08, 2.08, 1.64 | 1.08, 2.02, 1.32 | 0.04, -0.11, 0.24 | 0.05, -0.11, 0.00
1.05, 2.04, 1.60 | 1.08, 2.01, 1.32 | 0.04, -0.12, 0.22 | 0.04, -0.12, 0.00
1.03, 2.01, 1.52 | 1.07, 1.99, 1.32 | 0.02, -0.07, 0.24 | 0.03, -0.08, 0.00
1.07, 2.06, 1.60 | 1.08, 1.99, 1.32 | 0.02, -0.07, 0.21 | 0.03, -0.07, 0.00
1.09, 2.10, 1.67 | 1.08, 2.00, 1.32 | 0.02, -0.08, 0.23 | 0.03, -0.08, 0.00
1.05, 2.05, 1.59 | 1.08, 2.00, 1.32 | 0.00, -0.05, 0.24 | 0.02, -0.05, 0.00
1.05, 2.05, 1.58 | 1.08, 1.99, 1.32 | -0.00, -0.05, 0.22 | 0.01, -0.05, 0.00
1.06, 2.06, 1.58 | 1.08, 1.99, 1.32 | 0.00, -0.05, 0.23 | 0.01, -0.05, 0.00
1.01, 1.99, 1.54 | 1.06, 1.98, 1.32 | 0.03, -0.04, 0.23 | 0.02, -0.04, 0.00
1.01, 2.02, 1.56 | 1.06, 1.98, 1.32 | 0.01, -0.03, 0.24 | 0.01, -0.03, 0.00
0.98, 1.99, 1.54 | 1.04, 1.97, 1.32 | 0.01, -0.05, 0.23 | 0.01, -0.05, 0.00
1.00, 2.00, 1.53 | 1.03, 1.96, 1.32 | 0.01, -0.02, 0.22 | 0.01, -0.03, 0.00
1.05, 2.04, 1.62 | 1.04, 1.97, 1.32 | -0.00, -0.04, 0.24 | 0.01, -0.04, 0.00
1.09, 2.08, 1.68 | 1.05, 1.98, 1.32 | -0.00, -0.02, 0.23 | 0.00, -0.02, 0.00
1.03, 2.03, 1.62 | 1.04, 1.98, 1.32 | -0.00, -0.02, 0.24 | 0.00, -0.02, 0.00
0.99, 1.96, 1.58 | 1.03, 1.96, 1.32 | -0.02, -0.01, 0.21 | -0.01, -0.01, 0.00
0.96, 1.95, 1.56 | 1.02, 1.95, 1.32 | 0.00, -0.02, 0.25 | -0.00, -0.02, 0.00
0.98, 1.99, 1.58 | 1.01, 1.95, 1.32 | 0.01, -0.01, 0.22 | 0.00, -0.01, 0.00
0.99, 1.99, 1.55 | 1.01, 1.95, 1.32 | 0.00, -0.01, 0.26 | 0.00, -0.01, 0.00
0.96, 1.95, 1.54 | 1.00, 1.94, 1.32 | 0.01, -0.03, 0.24 | 0.01, -0.02, 0.00
0.95, 1.98, 1.55 | 0.99, 1.94, 1.32 | -0.01, -0.02, 0.19 | 0.00, -0.02, 0.00
0.99, 2.01, 1.60 | 0.98, 1.94, 1.32 | -0.00, -0.01, 0.22 | -0.00, -0.01, 0.00
1.02, 2.04, 1.66 | 0.99, 1.95, 1.32 | 0.00, -0.02, 0.21 | -0.00, -0.02, 0.00
1.00, 2.02, 1.58 | 0.99, 1.96, 1.32 | 0.00, 0.00, 0.23 | 0.00, 0.00, 0.00
1.04, 2.06, 1.65 | 1.00, 1.97, 1.32 | 0.00, -0.03, 0.26 | 0.00, -0.02, 0.00
0.98, 2.00, 1.59 | 0.99, 1.97, 1.32 | 0.01, -0.02, 0.23 | 0.01, -0.02, 0.00
0.97, 2.01, 1.57 | 0.99, 1.98, 1.32 | 0.01, -0.02, 0.24 | 0.01, -0.02, 0.00
0.94, 1.98, 1.55 | 0.98, 1.97, 1.32 | 0.01, 0.01, 0.23 | 0.01, 0.00, 0.00
0.93, 1.96, 1.51 | 0.97, 1.97, 1.32 | -0.00, -0.02, 0.25 | 0.01, -0.02, 0.00
0.93, 1.98, 1.45 | 0.96, 1.96, 1.32 | 0.03, -0.01, 0.23 | 0.01, -0.01, 0.00
0.91, 1.93, 1.46 | 0.95, 1.95, 1.32 | 0.01, -0.01, 0.21 | 0.01, -0.01, 0.00
0.94, 1.97, 1.51 | 0.94, 1.95, 1.32 | 0.01, -0.01, 0.24 | 0.01, -0.01, 0.00
0.95, 1.97, 1.46 | 0.94, 1.95, 1.32 | 0.00, -0.01, 0.25 | 0.01, -0.01, 0.00
1.01, 2.02, 1.56 | 0.95, 1.96, 1.32 | -0.00, -0.01, 0.22 | 0.00, -0.01, 0.00
0.99, 1.99, 1.52 | 0.96, 1.96, 1.32 | 0.01, -0.01, 0.23 | 0.01, -0.01, 0.00
0.96, 1.95, 1.49 | 0.95, 1.95, 1.32 | 0.01, -0.00, 0.24 | 0.01, -0.00, 0.00
1.02, 2.01, 1.58 | 0.96, 1.96, 1.32 | -0.00, -0.02, 0.24 | 0.00, -0.01, 0.00
1.06, 2.06, 1.66 | 0.98, 1.98, 1.32 | -0.02, -0.03, 0.22 | -0.00, -0.03, 0.00
1.04, 2.04, 1.55 | 0.99, 1.99, 1.32 | 0.00, -0.01, 0.23 | -0.00, -0.01, 0.00
1.01, 2.02, 1.52 | 0.99, 1.99, 1.32 | 0.00, -0.00, 0.23 | 0.00, -0.00, 0.00
0.97, 1.97, 1.50 | 0.99, 1.99, 1.32 | -0.00, -0.00, 0.25 | -0.00, -0.00, 0.00
