1.25, 2.40, 1.70 | 1.25, 2.40, 1.68 | 0.00, 0.00, -9.81 | -0.00, 0.00, -0.00
1.26, 2.39, 1.69 | 1.26, 2.39, 1.69 | -0.27, -5.96, -2.11 | -0.26, -5.96, -0.00
1.33, 2.54, 1.48 | 1.31, 2.51, 1.61 | -0.26, -2.18, -0.28 | -0.26, -2.19, -0.00
1.30, 2.50, 1.56 | 1.31, 2.49, 1.60 | -0.11, -0.73, -0.08 | -0.14, -0.75, -0.00
1.28, 2.48, 1.59 | 1.29, 2.46, 1.60 | -0.08, -0.48, 0.05 | -0.10, -0.49, -0.00
1.30, 2.44, 1.54 | 1.29, 2.43, 1.59 | -0.01, -0.34, -0.00 | -0.05, -0.35, -0.00
1.28, 2.44, 1.61 | 1.29, 2.41, 1.59 | -0.10, -0.28, -0.05 | -0.07, -0.28, -0.00
1.28, 2.43, 1.60 | 1.28, 2.40, 1.59 | -0.01, -0.18, -0.04 | -0.05, -0.20, -0.00
1.28, 2.42, 1.62 | 1.28, 2.39, 1.60 | -0.14, -0.14, -0.01 | -0.08, -0.15, -0.00
1.25, 2.40, 1.66 | 1.26, 2.38, 1.60 | -0.06, -0.20, -0.01 | -0.07, -0.19, -0.00
1.24, 2.40, 1.70 | 1.25, 2.37, 1.61 | -0.08, -0.13, 0.01 | -0.07, -0.14, -0.00
1.25, 2.39, 1.66 | 1.24, 2.36, 1.62 | -0.08, -0.04, -0.07 | -0.08, -0.08, -0.00
1.25, 2.38, 1.64 | 1.24, 2.35, 1.62 | -0.05, -0.13, -0.12 | -0.07, -0.12, -0.00
1.25, 2.36, 1.65 | 1.23, 2.34, 1.62 | -0.12, -0.04, 0.02 | -0.08, -0.06, -0.00
1.23, 2.35, 1.70 | 1.23, 2.32, 1.63 | 0.08, -0.13, 0.04 | -0.04, -0.12, -0.00
1.22, 2.34, 1.69 | 1.22, 2.32, 1.63 | -0.14, -0.28, 0.01 | -0.08, -0.26, -0.00
1.21, 2.31, 1.64 | 1.21, 2.30, 1.63 | 0.14, -0.03, -0.32 | 0.03, -0.05, -0.00
1.21, 2.31, 1.64 | 1.20, 2.29, 1.63 | 0.15, 0.35, -0.09 | 0.10, 0.32, -0.00
1.21, 2.31, 1.61 | 1.20, 2.28, 1.63 | 0.43, -0.12, 0.22 | 0.31, -0.10, -0.00
1.20, 2.30, 1.60 | 1.20, 2.28, 1.63 | 0.29, -0.41, -0.17 | 0.29, -0.39, -0.00
1.21, 2.30, 1.58 | 1.20, 2.27, 1.62 | -0.07, -0.51, -0.02 | 0.05, -0.51, -0.00
1.21, 2.29, 1.57 | 1.20, 2.26, 1.62 | 0.04, -0.29, 0.13 | 0.05, -0.31, -0.00
1.21, 2.27, 1.55 | 1.20, 2.24, 1.62 | 0.27, -0.35, -0.17 | 0.19, -0.34, -0.00
1.21, 2.25, 1.57 | 1.21, 2.23, 1.61 | 0.29, -0.15, 0.15 | 0.25, -0.16, -0.00
1.26, 2.18, 1.77 | 1.23, 2.19, 1.62 | 0.17, 0.52, 0.63 | 0.19, 0.51, -0.00
1.25, 2.17, 1.77 | 1.24, 2.16, 1.63 | -0.11, 0.09, 0.28 | 0.02, 0.13, -0.00
1.25, 2.17, 1.78 | 1.25, 2.15, 1.64 | -0.02, 0.52, -0.01 | -0.01, 0.51, -0.00
