0.99, 2.00, 1.77 | 0.99, 2.01, 1.84 | 0.01, -0.01, 0.13 | 0.01, -0.01, 0.00
1.00, 2.02, 1.85 | 0.99, 2.01, 1.84 | 0.03, -0.00, 0.19 | 0.02, -0.00, 0.00
1.00, 2.00, 1.80 | 1.00, 2.01, 1.84 | 0.01, 0.01, 0.19 | 0.01, 0.01, 0.00
1.00, 1.98, 1.76 | 1.00, 2.00, 1.84 | 0.01, 0.01, 0.21 | 0.01, 0.01, 0.00
0.98, 2.00, 1.76 | 0.99, 2.00, 1.84 | -0.00, 0.00, 0.21 | 0.01, 0.01, 0.00
0.98, 1.99, 1.74 | 0.99, 2.00, 1.84 | 0.01, 0.02, 0.23 | 0.01, 0.02, 0.00
0.99, 1.97, 1.71 | 0.99, 1.99, 1.84 | 0.01, 0.02, 0.22 | 0.01, 0.02, 0.00
0.99, 1.97, 1.71 | 0.99, 1.99, 1.84 | 0.01, -0.04, 0.19 | 0.01, -0.03, 0.00
0.98, 1.98, 1.71 | 0.99, 1.99, 1.84 | 0.01, 0.01, 0.21 | 0.01, 0.01, 0.00
0.98, 1.97, 1.73 | 0.99, 1.98, 1.84 | 0.01, 0.01, 0.22 | 0.01, 0.01, -0.00
1.00, 1.96, 1.67 | 0.99, 1.98, 1.84 | 0.01, 0.01, 0.21 | 0.01, 0.01, -0.00
0.96, 1.99, 1.73 | 0.99, 1.98, 1.84 | 0.02, -0.01, 0.22 | 0.01, -0.01, -0.00
0.98, 1.99, 1.72 | 0.99, 1.98, 1.84 | 0.01, -0.01, 0.20 | 0.01, -0.01, -0.00
0.96, 1.99, 1.74 | 0.98, 1.98, 1.84 | -0.00, 0.00, 0.23 | 0.01, -0.00, -0.00
0.96, 1.99, 1.73 | 0.98, 1.98, 1.84 | 0.02, 0.03, 0.23 | 0.01, 0.02, -0.00
0.96, 1.98, 1.70 | 0.98, 1.98, 1.84 | 0.01, -0.00, 0.19 | 0.01, 0.00, -0.00
0.96, 1.98, 1.71 | 0.97, 1.98, 1.84 | 0.00, 0.00, 0.23 | 0.01, 0.00, -0.00
0.96, 1.99, 1.73 | 0.97, 1.98, 1.84 | 0.00, 0.02, 0.21 | 0.00, 0.02, -0.00
0.97, 1.97, 1.66 | 0.97, 1.98, 1.84 | 0.01, -0.01, 0.22 | 0.01, -0.01, -0.00
0.97, 1.98, 1.66 | 0.97, 1.98, 1.84 | 0.00, -0.02, 0.22 | 0.01, -0.02, -0.00
0.97, 1.98, 1.67 | 0.97, 1.98, 1.84 | 0.01, -0.00, 0.23 | 0.01, -0.00, -0.00
0.98, 1.97, 1.68 | 0.97, 1.97, 1.84 | 0.00, 0.02, 0.21 | 0.01, 0.02, -0.00
0.98, 1.98, 1.61 | 0.97, 1.97, 1.84 | 0.00, 0.02, 0.19 | 0.00, 0.02, -0.00
1.00, 1.99, 1.68 | 0.98, 1.98, 1.84 | -0.00, -0.01, 0.21 | 0.00, -0.00, -0.00
1.02, 2.03, 1.76 | 0.98, 1.99, 1.84 | 0.01, -0.02, 0.21 | 0.00, -0.02, -0.00
1.01, 2.01, 1.74 | 0.99, 1.99, 1.84 | 0.00, -0.00, 0.23 | 0.00, -0.01, -0.00
1.01, 2.00, 1.72 | 0.99, 1.99, 1.84 | 0.00, -0.01, 0.23 | 0.00, -0.01, -0.00
0.99, 2.01, 1.74 | 1.00, 2.00, 1.84 | -0.01, -0.00, 0.23 | -0.00, -0.00, -0.00
0.99, 2.02, 1.75 | 0.99, 2.00, 1.84 | -0.00, -0.00, 0.21 | -0.00, -0.00, -0.00
1.01, 2.05, 1.82 | 1.00, 2.01, 1.84 | -0.01, -0.01, 0.23 | -0.00, -0.01, -0.00
0.98, 2.05, 1.77 | 1.00, 2.02, 1.84 | 0.01, 0.00, 0.22 | 0.00, -0.00, -0.00
1.00, 2.05, 1.80 | 1.00, 2.03, 1.84 | -0.00, -0.00, 0.23 | 0.00, -0.00, -0.00
0.98, 2.03, 1.76 | 1.00, 2.03, 1.84 | 0.01, 0.00, 0.23 | 0.01, 0.00, -0.00
