2.91, 0.08, 1.65 | 2.93, 0.05, 1.68 | -0.04, -0.06, 0.74 | -0.04, -0.06, 0.00
2.91, 0.09, 1.65 | 2.93, 0.06, 1.68 | 0.01, 0.02, 0.14 | -0.02, 0.00, 0.00
2.90, 0.12, 1.62 | 2.92, 0.07, 1.68 | -0.01, -0.02, 0.19 | -0.01, -0.02, 0.00
2.89, 0.11, 1.61 | 2.92, 0.08, 1.68 | 0.01, 0.01, 0.21 | -0.00, 0.01, 0.00
2.92, 0.13, 1.60 | 2.92, 0.09, 1.68 | 0.00, -0.01, 0.20 | -0.00, -0.01, 0.00
2.94, 0.11, 1.62 | 2.92, 0.10, 1.68 | 0.00, -0.01, 0.19 | -0.00, -0.01, 0.00
2.92, 0.13, 1.62 | 2.92, 0.11, 1.68 | 0.00, -0.03, 0.21 | 0.00, -0.02, 0.00
2.90, 0.15, 1.59 | 2.92, 0.12, 1.68 | -0.00, 0.01, 0.21 | -0.00, 0.00, 0.00
2.87, 0.18, 1.53 | 2.91, 0.13, 1.68 | 0.00, -0.01, 0.20 | -0.00, -0.01, 0.00
2.86, 0.18, 1.50 | 2.90, 0.14, 1.68 | 0.02, -0.02, 0.20 | 0.01, -0.01, 0.00
2.86, 0.17, 1.52 | 2.89, 0.15, 1.68 | 0.00, -0.02, 0.22 | 0.01, -0.02, -0.00
2.85, 0.17, 1.51 | 2.88, 0.16, 1.68 | -0.01, -0.02, 0.22 | -0.00, -0.02, -0.00
2.84, 0.19, 1.47 | 2.87, 0.17, 1.68 | 0.01, 0.00, 0.21 | 0.00, 0.00, -0.00
2.84, 0.18, 1.50 | 2.86, 0.17, 1.68 | 0.01, -0.00, 0.23 | 0.01, -0.00, -0.00
2.86, 0.16, 1.55 | 2.86, 0.18, 1.68 | -0.00, -0.00, 0.23 | 0.00, -0.00, -0.00
2.86, 0.17, 1.52 | 2.86, 0.18, 1.68 | -0.01, -0.00, 0.21 | -0.00, -0.00, -0.00
2.85, 0.19, 1.50 | 2.85, 0.18, 1.68 | -0.01, 0.00, 0.22 | -0.01, 0.00, -0.00
2.84, 0.19, 1.48 | 2.85, 0.19, 1.68 | -0.00, -0.01, 0.22 | -0.01, -0.01, -0.00
2.83, 0.20, 1.49 | 2.84, 0.19, 1.68 | -0.00, -0.01, 0.22 | -0.00, -0.01, -0.00
2.81, 0.21, 1.45 | 2.83, 0.20, 1.68 | 0.01, 0.02, 0.22 | 0.00, 0.01, -0.00
2.82, 0.20, 1.46 | 2.83, 0.21, 1.68 | 0.02, -0.00, 0.22 | 0.01, 0.00, -0.00
2.84, 0.19, 1.51 | 2.83, 0.21, 1.68 | 0.01, 0.00, 0.21 | 0.01, 0.00, -0.00
2.84, 0.19, 1.50 | 2.82, 0.21, 1.68 | 0.00, -0.01, 0.22 | 0.01, -0.01, -0.00
2.85, 0.18, 1.52 | 2.83, 0.21, 1.68 | -0.00, -0.00, 0.22 | 0.00, -0.00, -0.00
2.85, 0.18, 1.53 | 2.83, 0.20, 1.68 | -0.01, -0.02, 0.22 | -0.00, -0.02, -0.00
2.84, 0.20, 1.51 | 2.83, 0.20, 1.68 | -0.00, 0.00, 0.20 | -0.00, -0.00, -0.00
