1.07, 1.14, 2.12 | 1.06, 1.14, 2.08 | 0.15, 0.02, -0.90 | 0.14, 0.02, -0.00
1.08, 1.15, 2.14 | 1.07, 1.14, 2.08 | 0.03, 0.01, 0.18 | 0.08, 0.02, -0.00
1.09, 1.17, 2.16 | 1.07, 1.15, 2.08 | 0.03, 0.00, 0.20 | 0.06, 0.01, -0.00
1.07, 1.16, 2.11 | 1.07, 1.15, 2.08 | 0.02, -0.00, 0.19 | 0.04, -0.00, -0.00
1.04, 1.16, 2.07 | 1.07, 1.15, 2.08 | 0.02, 0.02, 0.20 | 0.04, 0.02, -0.00
1.04, 1.15, 2.06 | 1.06, 1.15, 2.08 | 0.02, 0.00, 0.20 | 0.03, 0.00, 0.00
1.05, 1.15, 2.07 | 1.06, 1.15, 2.08 | 0.02, 0.01, 0.21 | 0.03, 0.01, 0.00
1.05, 1.15, 2.07 | 1.06, 1.15, 2.08 | 0.01, 0.00, 0.21 | 0.02, 0.00, 0.00
1.08, 1.16, 2.13 | 1.07, 1.15, 2.08 | 0.02, -0.00, 0.21 | 0.02, -0.00, 0.00
1.08, 1.16, 2.11 | 1.07, 1.16, 2.08 | 0.03, 0.01, 0.24 | 0.02, 0.01, 0.00
0.99, 1.09, 1.96 | 1.06, 1.14, 2.08 | 0.02, 0.00, 0.21 | 0.02, 0.00, 0.00
1.02, 1.12, 2.02 | 1.05, 1.14, 2.08 | 0.02, 0.01, 0.22 | 0.02, 0.01, 0.00
1.03, 1.14, 2.05 | 1.05, 1.14, 2.08 | 0.02, -0.00, 0.24 | 0.02, -0.00, 0.00
1.02, 1.13, 2.06 | 1.04, 1.14, 2.08 | 0.01, -0.00, 0.23 | 0.01, -0.00, 0.00
1.03, 1.16, 2.08 | 1.04, 1.14, 2.08 | 0.01, -0.00, 0.22 | 0.01, -0.00, 0.00
1.03, 1.15, 2.07 | 1.04, 1.14, 2.08 | 0.02, 0.01, 0.21 | 0.02, 0.01, 0.00
1.05, 1.15, 2.12 | 1.04, 1.14, 2.08 | 0.01, -0.01, 0.23 | 0.01, -0.00, 0.00
1.06, 1.17, 2.11 | 1.05, 1.15, 2.08 | 0.03, -0.01, 0.22 | 0.02, -0.01, 0.00
1.04, 1.14, 2.07 | 1.05, 1.15, 2.08 | 0.01, -0.00, 0.21 | 0.02, -0.00, 0.00
1.06, 1.17, 2.10 | 1.05, 1.15, 2.08 | 0.01, 0.00, 0.22 | 0.01, 0.00, 0.00
1.08, 1.17, 2.15 | 1.06, 1.16, 2.08 | 0.01, 0.02, 0.24 | 0.01, 0.02, 0.00
1.08, 1.18, 2.13 | 1.06, 1.16, 2.08 | -0.00, -0.01, 0.20 | 0.01, -0.01, 0.00
1.08, 1.18, 2.11 | 1.07, 1.17, 2.08 | -0.00, 0.01, 0.22 | 0.00, 0.01, 0.00
1.06, 1.16, 2.08 | 1.07, 1.17, 2.08 | 0.01, 0.01, 0.21 | 0.00, 0.01, 0.00
1.04, 1.15, 2.05 | 1.06, 1.16, 2.08 | 0.02, 0.00, 0.22 | 0.01, 0.00, 0.00
1.03, 1.14, 2.02 | 1.06, 1.16, 2.08 | 0.01, 0.01, 0.23 | 0.01, 0.00, 0.00
1.05, 1.16, 2.06 | 1.06, 1.16, 2.08 | 0.01, 0.00, 0.23 | 0.01, 0.00, 0.00
1.06, 1.17, 2.10 | 1.06, 1.16, 2.08 | 0.00, 0.01, 0.22 | 0.01, 0.01, 0.00
1.07, 1.18, 2.12 | 1.06, 1.17, 2.08 | 0.01, 0.00, 0.23 | 0.01, 0.00, 0.00
1.08, 1.19, 2.15 | 1.07, 1.17, 2.08 | 0.02, 0.00, 0.22 | 0.01, 0.00, 0.00
1.06, 1.18, 2.12 | 1.07, 1.17, 2.08 | -0.00, 0.01, 0.22 | 0.01, 0.01, 0.00
1.04, 1.17, 2.08 | 1.06, 1.17, 2.08 | 0.01, 0.00, 0.23 | 0.01, 0.00, 0.00
1.05, 1.18, 2.10 | 1.06, 1.18, 2.08 | 0.01, -0.01, 0.22 | 0.01, -0.00, 0.00
1.05, 1.19, 2.13 | 1.06, 1.18, 2.08 | 0.01, -0.01, 0.23 | 0.01, -0.01, 0.00
1.04, 1.15, 2.08 | 1.06, 1.18, 2.08 | -0.00, 0.01, 0.23 | 0.00, 0.00, 0.00
1.04, 1.13, 2.05 | 1.06, 1.17, 2.08 | 0.00, 0.00, 0.22 | 0.00, 0.00, 0.00
1.02, 1.13, 2.02 | 1.05, 1.16, 2.08 | -0.01, 0.00, 0.21 | -0.00, 0.00, 0.00
1.03, 1.15, 2.03 | 1.05, 1.16, 2.08 | -0.01, -0.00, 0.22 | -0.00, -0.00, 0.00
1.01, 1.15, 2.02 | 1.04, 1.16, 2.08 | 0.00, 0.01, 0.22 | -0.00, 0.01, 0.00
1.04, 1.16, 2.07 | 1.04, 1.16, 2.08 | 0.02, 0.01, 0.24 | 0.01, 0.01, 0.00
1.02, 1.15, 2.06 | 1.04, 1.16, 2.08 | 0.02, 0.01, 0.22 | 0.01, 0.01, 0.00
1.03, 1.14, 2.07 | 1.04, 1.15, 2.08 | 0.02, 0.00, 0.22 | 0.01, 0.00, 0.00
1.02, 1.14, 2.05 | 1.04, 1.15, 2.08 | 0.00, -0.01, 0.24 | 0.01, -0.01, 0.00
1.05, 1.15, 2.08 | 1.04, 1.15, 2.08 | 0.01, 0.02, 0.22 | 0.01, 0.02, 0.00
1.07, 1.16, 2.12 | 1.04, 1.15, 2.08 | 0.00, 0.00, 0.20 | 0.01, 0.01, 0.00
1.05, 1.14, 2.09 | 1.04, 1.15, 2.08 | 0.01, 0.01, 0.23 | 0.01, 0.01, 0.00
1.03, 1.14, 2.06 | 1.04, 1.15, 2.08 | -0.00, 0.01, 0.21 | 0.00, 0.01, 0.00
1.01, 1.15, 2.05 | 1.04, 1.15, 2.08 | 0.01, -0.02, 0.23 | 0.01, -0.01, 0.00
1.04, 1.16, 2.12 | 1.04, 1.15, 2.08 | 0.02, 0.00, 0.21 | 0.01, 0.00, 0.00
1.05, 1.18, 2.14 | 1.04, 1.16, 2.08 | -0.00, -0.00, 0.24 | 0.00, -0.00, 0.00
1.02, 1.16, 2.10 | 1.04, 1.16, 2.08 | 0.01, 0.01, 0.22 | 0.01, 0.01, 0.00
1.03, 1.15, 2.09 | 1.04, 1.16, 2.08 | -0.00, 0.00, 0.22 | 0.00, 0.00, 0.00
1.07, 1.15, 2.12 | 1.04, 1.16, 2.08 | 0.01, -0.01, 0.21 | 0.01, -0.01, 0.00
1.07, 1.18, 2.15 | 1.05, 1.16, 2.08 | -0.01, -0.00, 0.22 | 0.00, -0.00, 0.00
1.09, 1.17, 2.18 | 1.06, 1.16, 2.08 | -0.01, 0.00, 0.22 | -0.00, 0.00, 0.00
1.08, 1.18, 2.19 | 1.06, 1.17, 2.08 | 0.00, 0.00, 0.24 | -0.00, 0.00, 0.00
1.09, 1.19, 2.20 | 1.07, 1.17, 2.08 | 0.01, 0.01, 0.22 | 0.00, 0.00, 0.00
1.06, 1.17, 2.13 | 1.07, 1.17, 2.08 | -0.00, 0.01, 0.23 | 0.00, 0.01, 0.00
1.07, 1.18, 2.14 | 1.07, 1.18, 2.08 | 0.00, 0.01, 0.23 | 0.00, 0.01, 0.00
1.04, 1.17, 2.10 | 1.07, 1.18, 2.08 | 0.00, 0.00, 0.22 | 0.00, 0.00, 0.00
1.05, 1.18, 2.09 | 1.06, 1.18, 2.08 | 0.01, 0.00, 0.23 | 0.00, 0.00, 0.00
1.03, 1.17, 2.05 | 1.06, 1.18, 2.08 | -0.01, -0.01, 0.22 | -0.00, -0.01, 0.00
1.04, 1.17, 2.06 | 1.06, 1.18, 2.08 | 0.01, -0.00, 0.22 | 0.00, -0.00, 0.00
1.04, 1.18, 2.08 | 1.05, 1.18, 2.08 | -0.00, 0.01, 0.22 | 0.00, 0.00, 0.00
1.03, 1.16, 2.05 | 1.05, 1.18, 2.08 | 0.00, -0.00, 0.23 | 0.00, -0.00, 0.00
1.06, 1.16, 2.10 | 1.05, 1.17, 2.08 | -0.00, -0.00, 0.21 | -0.00, -0.00, 0.00
1.05, 1.16, 2.07 | 1.05, 1.17, 2.08 | 0.01, 0.01, 0.23 | 0.00, 0.01, 0.00
1.06, 1.18, 2.11 | 1.05, 1.17, 2.08 | 0.00, 0.01, 0.23 | 0.00, 0.01, 0.00
1.03, 1.16, 2.09 | 1.05, 1.17, 2.08 | 0.00, 0.01, 0.23 | 0.00, 0.01, 0.00
1.06, 1.16, 2.12 | 1.05, 1.17, 2.08 | 0.01, 0.01, 0.22 | 0.01, 0.01, 0.00
1.07, 1.18, 2.14 | 1.06, 1.17, 2.08 | 0.00, 0.01, 0.24 | 0.00, 0.01, 0.00
1.07, 1.19, 2.14 | 1.06, 1.17, 2.08 | -0.01, -0.01, 0.21 | -0.00, -0.01, 0.00
1.06, 1.18, 2.14 | 1.06, 1.18, 2.08 | 0.02, -0.01, 0.22 | 0.01, -0.01, 0.00
1.04, 1.17, 2.09 | 1.06, 1.18, 2.08 | -0.00, -0.03, 0.21 | 0.00, -0.03, 0.00
1.05, 1.18, 2.10 | 1.06, 1.18, 2.08 | 0.01, 0.02, 0.21 | 0.00, 0.01, 0.00
1.04, 1.16, 2.06 | 1.05, 1.18, 2.08 | 0.01, 0.01, 0.23 | 0.01, 0.01, 0.00
1.06, 1.18, 2.08 | 1.06, 1.18, 2.08 | 0.01, 0.03, 0.22 | 0.01, 0.03, 0.00
1.06, 1.18, 2.09 | 1.06, 1.18, 2.08 | 0.01, 0.00, 0.21 | 0.01, 0.01, 0.00
1.07, 1.18, 2.12 | 1.06, 1.18, 2.08 | 0.01, 0.00, 0.23 | 0.01, 0.00, 0.00
1.05, 1.17, 2.09 | 1.06, 1.18, 2.08 | 0.01, -0.01, 0.22 | 0.01, -0.01, 0.00
1.03, 1.15, 2.07 | 1.05, 1.17, 2.08 | 0.01, 0.01, 0.23 | 0.01, 0.01, 0.00
1.05, 1.15, 2.12 | 1.05, 1.17, 2.08 | -0.00, 0.00, 0.23 | 0.00, 0.00, 0.00
1.04, 1.15, 2.10 | 1.05, 1.17, 2.08 | 0.01, -0.05, 0.20 | 0.01, -0.04, 0.00
1.05, 1.17, 2.11 | 1.05, 1.17, 2.08 | 0.01, -0.04, 0.21 | 0.01, -0.04, 0.00
1.06, 1.18, 2.14 | 1.06, 1.17, 2.08 | 0.01, -0.05, 0.23 | 0.01, -0.05, 0.00
1.09, 1.17, 2.19 | 1.06, 1.17, 2.08 | 0.00, 0.01, 0.19 | 0.01, 0.00, 0.00
1.06, 1.17, 2.14 | 1.06, 1.17, 2.08 | 0.01, 0.01, 0.21 | 0.01, 0.01, 0.00
1.06, 1.18, 2.14 | 1.06, 1.17, 2.08 | -0.01, 0.00, 0.23 | -0.00, 0.00, 0.00
1.06, 1.19, 2.15 | 1.06, 1.17, 2.08 | 0.01, -0.02, 0.24 | 0.01, -0.02, 0.00
1.07, 1.19, 2.17 | 1.06, 1.17, 2.08 | 0.02, -0.02, 0.22 | 0.01, -0.02, 0.00
1.08, 1.19, 2.16 | 1.07, 1.18, 2.08 | -0.00, -0.00, 0.22 | 0.00, -0.00, 0.00
1.06, 1.16, 2.13 | 1.07, 1.17, 2.08 | 0.02, 0.00, 0.22 | 0.01, 0.00, 0.00
1.04, 1.14, 2.10 | 1.06, 1.17, 2.08 | -0.00, 0.01, 0.22 | 0.00, 0.01, 0.00
1.04, 1.16, 2.12 | 1.06, 1.17, 2.08 | -0.01, -0.01, 0.23 | -0.00, -0.01, 0.00
1.06, 1.17, 2.13 | 1.06, 1.17, 2.08 | 0.01, -0.01, 0.21 | 0.00, -0.01, 0.00
1.04, 1.16, 2.10 | 1.06, 1.16, 2.08 | 0.00, -0.01, 0.21 | 0.00, -0.01, 0.00
1.05, 1.17, 2.11 | 1.06, 1.17, 2.08 | 0.00, -0.00, 0.22 | 0.00, -0.00, 0.00
1.04, 1.15, 2.07 | 1.05, 1.16, 2.08 | -0.01, 0.02, 0.21 | -0.00, 0.02, 0.00
1.04, 1.17, 2.06 | 1.05, 1.16, 2.08 | 0.02, -0.00, 0.22 | 0.00, -0.00, 0.00
1.03, 1.17, 2.05 | 1.05, 1.16, 2.08 | 0.01, -0.01, 0.22 | 0.01, -0.01, 0.00
1.03, 1.17, 2.04 | 1.04, 1.16, 2.08 | -0.00, -0.01, 0.21 | 0.00, -0.01, 0.00
1.05, 1.19, 2.08 | 1.05, 1.17, 2.08 | 0.00, 0.01, 0.22 | 0.00, 0.00, 0.00
1.02, 1.16, 2.06 | 1.04, 1.17, 2.08 | 0.02, 0.00, 0.21 | 0.01, 0.00, 0.00
1.03, 1.18, 2.11 | 1.04, 1.17, 2.08 | 0.00, 0.00, 0.22 | 0.01, 0.00, 0.00
1.03, 1.16, 2.08 | 1.04, 1.17, 2.08 | 0.00, -0.01, 0.23 | 0.01, -0.01, 0.00
1.01, 1.15, 2.04 | 1.03, 1.16, 2.08 | 0.00, -0.01, 0.22 | 0.00, -0.01, 0.00
1.04, 1.15, 2.07 | 1.03, 1.16, 2.08 | 0.00, 0.01, 0.20 | 0.00, 0.01, 0.00
1.05, 1.16, 2.09 | 1.04, 1.16, 2.08 | -0.00, -0.01, 0.21 | 0.00, -0.00, 0.00
1.07, 1.17, 2.12 | 1.04, 1.16, 2.08 | 0.01, 0.01, 0.23 | 0.01, 0.00, 0.00
1.08, 1.19, 2.14 | 1.05, 1.17, 2.08 | 0.01, 0.00, 0.21 | 0.01, 0.00, 0.00
1.08, 1.19, 2.18 | 1.05, 1.17, 2.08 | 0.01, -0.01, 0.23 | 0.01, -0.01, 0.00
1.08, 1.19, 2.19 | 1.06, 1.17, 2.08 | 0.01, -0.00, 0.22 | 0.01, -0.00, 0.00
1.05, 1.18, 2.14 | 1.06, 1.18, 2.08 | 0.01, 0.01, 0.20 | 0.01, 0.00, 0.00
1.07, 1.18, 2.16 | 1.06, 1.18, 2.08 | -0.01, 0.00, 0.22 | 0.00, 0.00, 0.00
1.05, 1.16, 2.10 | 1.06, 1.17, 2.08 | 0.01, -0.01, 0.22 | 0.01, -0.01, 0.00
1.07, 1.17, 2.13 | 1.06, 1.17, 2.09 | -0.00, 0.00, 0.22 | 0.00, 0.00, 0.00
1.07, 1.18, 2.14 | 1.07, 1.17, 2.09 | -0.00, 0.00, 0.23 | 0.00, 0.00, 0.00
1.07, 1.16, 2.12 | 1.07, 1.17, 2.09 | -0.02, 0.01, 0.22 | -0.01, 0.01, 0.00
1.08, 1.17, 2.15 | 1.07, 1.17, 2.09 | -0.01, -0.01, 0.23 | -0.01, -0.00, 0.00
1.07, 1.19, 2.17 | 1.07, 1.17, 2.09 | 0.00, -0.00, 0.22 | -0.00, -0.00, 0.00
1.09, 1.18, 2.17 | 1.08, 1.18, 2.09 | -0.00, 0.01, 0.23 | -0.00, 0.01, 0.00
1.10, 1.19, 2.19 | 1.08, 1.18, 2.09 | -0.00, 0.00, 0.21 | -0.00, 0.00, 0.00
1.09, 1.19, 2.16 | 1.09, 1.18, 2.09 | -0.01, -0.01, 0.22 | -0.00, -0.00, 0.00
1.08, 1.20, 2.16 | 1.09, 1.19, 2.09 | 0.01, -0.00, 0.22 | 0.00, -0.00, 0.00
1.08, 1.21, 2.16 | 1.09, 1.19, 2.09 | 0.01, 0.01, 0.21 | 0.01, 0.01, 0.00
1.05, 1.17, 2.11 | 1.08, 1.19, 2.09 | 0.00, -0.01, 0.23 | 0.00, -0.00, 0.00
1.03, 1.17, 2.08 | 1.07, 1.19, 2.09 | -0.00, -0.01, 0.23 | 0.00, -0.01, 0.00
1.05, 1.17, 2.10 | 1.07, 1.18, 2.09 | 0.00, -0.01, 0.23 | 0.00, -0.01, 0.00
1.06, 1.18, 2.14 | 1.07, 1.18, 2.09 | -0.00, 0.01, 0.22 | 0.00, 0.01, 0.00
1.08, 1.17, 2.17 | 1.07, 1.18, 2.10 | 0.01, 0.00, 0.23 | 0.00, 0.00, 0.00
1.08, 1.19, 2.16 | 1.08, 1.18, 2.10 | 0.00, -0.00, 0.23 | 0.00, -0.00, 0.00
1.08, 1.19, 2.19 | 1.08, 1.18, 2.10 | 0.00, -0.01, 0.23 | 0.00, -0.01, 0.00
