2.87, 0.15, 1.56 | 2.90, 0.11, 1.64 | -0.00, -0.01, 0.21 | -0.00, -0.01, 0.00
2.88, 0.14, 1.58 | 2.90, 0.11, 1.64 | 0.00, 0.01, 0.20 | 0.00, 0.01, 0.00
2.88, 0.13, 1.56 | 2.89, 0.12, 1.64 | 0.01, -0.00, 0.21 | 0.01, 0.00, 0.00
2.88, 0.12, 1.55 | 2.89, 0.12, 1.64 | -0.00, 0.01, 0.22 | 0.00, 0.00, 0.00
2.87, 0.13, 1.57 | 2.89, 0.12, 1.64 | -0.00, 0.00, 0.20 | 0.00, 0.00, 0.00
2.87, 0.14, 1.57 | 2.88, 0.13, 1.64 | -0.00, 0.01, 0.23 | -0.00, 0.01, 0.00
2.86, 0.12, 1.56 | 2.88, 0.13, 1.64 | 0.01, -0.01, 0.20 | 0.00, -0.01, 0.00
2.86, 0.13, 1.55 | 2.88, 0.13, 1.64 | 0.00, -0.01, 0.21 | 0.00, -0.01, 0.00
2.87, 0.12, 1.57 | 2.88, 0.13, 1.64 | 0.03, -0.02, 0.21 | 0.01, -0.02, 0.00
2.87, 0.12, 1.56 | 2.87, 0.13, 1.64 | 0.01, -0.01, 0.22 | 0.01, -0.01, 0.00
2.86, 0.13, 1.55 | 2.87, 0.13, 1.64 | 0.00, -0.02, 0.20 | 0.01, -0.02, 0.00
2.86, 0.14, 1.54 | 2.87, 0.13, 1.64 | 0.01, -0.00, 0.22 | 0.01, -0.00, -0.00
2.85, 0.17, 1.50 | 2.86, 0.14, 1.64 | 0.02, -0.00, 0.22 | 0.01, -0.00, -0.00
2.85, 0.17, 1.52 | 2.86, 0.14, 1.64 | 0.01, 0.03, 0.22 | 0.01, 0.03, -0.00
2.87, 0.14, 1.56 | 2.86, 0.15, 1.64 | 0.01, -0.02, 0.21 | 0.01, -0.01, -0.00
2.90, 0.10, 1.60 | 2.87, 0.14, 1.64 | 0.00, -0.04, 0.21 | 0.01, -0.03, -0.00
2.89, 0.10, 1.59 | 2.87, 0.13, 1.64 | -0.00, -0.01, 0.22 | 0.00, -0.02, -0.00
2.88, 0.12, 1.56 | 2.87, 0.13, 1.64 | 0.00, -0.00, 0.22 | 0.00, -0.01, -0.00
2.87, 0.14, 1.53 | 2.87, 0.13, 1.64 | -0.02, -0.00, 0.22 | -0.00, -0.01, -0.00
2.88, 0.13, 1.54 | 2.87, 0.13, 1.64 | 0.00, 0.01, 0.22 | -0.00, 0.01, -0.00
2.88, 0.12, 1.57 | 2.87, 0.13, 1.64 | 0.00, 0.00, 0.21 | -0.00, 0.01, -0.00
2.88, 0.12, 1.58 | 2.88, 0.12, 1.64 | -0.00, 0.02, 0.22 | -0.00, 0.02, -0.00
2.90, 0.11, 1.59 | 2.88, 0.12, 1.64 | 0.04, -0.00, 0.24 | 0.01, 0.00, -0.00
2.90, 0.11, 1.59 | 2.88, 0.12, 1.64 | 0.00, 0.00, 0.22 | 0.01, 0.00, -0.00
2.90, 0.11, 1.61 | 2.89, 0.12, 1.64 | -0.00, 0.00, 0.23 | 0.00, 0.00, -0.00
2.91, 0.09, 1.62 | 2.89, 0.11, 1.64 | 0.00, -0.01, 0.22 | 0.00, -0.01, -0.00
