0.99, 1.04, 1.76 | 0.94, 1.03, 1.65 | 0.00, -0.00, 0.16 | 0.00, -0.00, 0.00
0.95, 1.01, 1.67 | 0.94, 1.03, 1.65 | 0.01, 0.00, 0.18 | 0.01, 0.00, 0.00
0.89, 0.95, 1.57 | 0.94, 1.01, 1.65 | -0.00, -0.02, 0.19 | 0.00, -0.02, 0.00
0.91, 0.91, 1.59 | 0.93, 0.99, 1.65 | -0.00, -0.01, 0.20 | 0.00, -0.01, 0.00
0.97, 0.98, 1.74 | 0.94, 0.99, 1.65 | 0.01, -0.02, 0.19 | 0.00, -0.02, 0.00
1.01, 1.01, 1.81 | 0.95, 0.99, 1.65 | 0.01, 0.01, 0.18 | 0.00, 0.00, 0.00
1.03, 1.04, 1.87 | 0.96, 1.00, 1.65 | 0.01, -0.07, 0.20 | 0.01, -0.05, 0.00
1.07, 1.08, 1.93 | 0.98, 1.01, 1.65 | -0.01, -0.03, 0.19 | -0.00, -0.03, 0.00
0.98, 1.02, 1.78 | 0.98, 1.01, 1.65 | 0.02, -0.02, 0.19 | 0.01, -0.02, 0.00
0.93, 0.99, 1.68 | 0.97, 1.01, 1.65 | -0.01, 0.01, 0.22 | -0.00, 0.00, 0.00
1.00, 1.03, 1.80 | 0.98, 1.01, 1.65 | 0.00, 0.01, 0.20 | -0.00, 0.01, 0.00
0.95, 1.00, 1.70 | 0.98, 1.01, 1.65 | -0.01, -0.02, 0.21 | -0.01, -0.01, 0.00
0.99, 1.04, 1.81 | 0.98, 1.01, 1.65 | -0.00, -0.03, 0.19 | -0.00, -0.03, 0.00
1.04, 1.08, 1.92 | 0.99, 1.03, 1.65 | 0.01, -0.02, 0.18 | 0.00, -0.02, 0.00
1.07, 1.10, 1.99 | 1.01, 1.04, 1.65 | -0.01, 0.01, 0.22 | -0.00, 0.00, 0.00
1.08, 1.10, 1.99 | 1.02, 1.05, 1.65 | -0.00, 0.02, 0.20 | -0.00, 0.02, 0.00
1.01, 1.05, 1.85 | 1.03, 1.05, 1.65 | 0.00, -0.02, 0.21 | -0.00, -0.01, 0.00
1.01, 1.05, 1.84 | 1.03, 1.05, 1.65 | -0.01, -0.02, 0.21 | -0.00, -0.02, 0.00
0.96, 1.00, 1.72 | 1.02, 1.05, 1.65 | 0.01, -0.01, 0.21 | 0.00, -0.01, 0.00
0.92, 1.02, 1.76 | 1.00, 1.04, 1.65 | -0.00, -0.02, 0.19 | -0.00, -0.02, 0.00
0.89, 0.96, 1.65 | 0.99, 1.03, 1.65 | -0.01, 0.00, 0.21 | -0.00, -0.00, 0.00
