1.98, 1.97, 1.68 | 1.98, 1.98, 1.63 | 0.08, -0.02, -1.24 | 0.08, -0.02, -0.00
1.98, 1.96, 1.73 | 1.98, 1.97, 1.63 | -0.03, 0.00, 0.23 | 0.02, -0.00, -0.00
1.95, 1.96, 1.71 | 1.97, 1.97, 1.63 | -0.02, -0.01, 0.21 | 0.00, -0.01, -0.00
1.98, 1.94, 1.76 | 1.97, 1.96, 1.63 | -0.01, 0.02, 0.20 | -0.00, 0.01, -0.00
1.96, 1.93, 1.78 | 1.97, 1.95, 1.63 | -0.02, -0.01, 0.21 | -0.01, -0.00, -0.00
1.96, 1.92, 1.80 | 1.97, 1.94, 1.63 | -0.01, -0.00, 0.19 | -0.01, -0.00, 0.00
1.95, 1.92, 1.79 | 1.96, 1.94, 1.63 | -0.01, -0.01, 0.21 | -0.01, -0.01, 0.00
1.95, 1.91, 1.79 | 1.96, 1.93, 1.63 | -0.00, 0.01, 0.23 | -0.01, 0.01, 0.00
1.95, 1.90, 1.82 | 1.96, 1.92, 1.63 | -0.02, -0.01, 0.23 | -0.01, -0.00, 0.00
1.96, 1.91, 1.79 | 1.96, 1.91, 1.63 | 0.02, -0.01, 0.22 | -0.00, -0.01, 0.00
1.98, 1.91, 1.81 | 1.96, 1.91, 1.63 | -0.01, -0.02, 0.21 | -0.01, -0.02, 0.00
1.98, 1.93, 1.83 | 1.96, 1.91, 1.63 | -0.02, -0.02, 0.22 | -0.01, -0.02, 0.00
1.96, 1.92, 1.84 | 1.96, 1.91, 1.63 | 0.01, -0.02, 0.24 | -0.00, -0.02, 0.00
1.95, 1.91, 1.84 | 1.96, 1.90, 1.63 | 0.02, 0.05, 0.23 | 0.01, 0.04, 0.00
1.96, 1.92, 1.84 | 1.96, 1.90, 1.63 | -0.01, -0.05, 0.21 | -0.00, -0.03, 0.00
1.97, 1.91, 1.85 | 1.96, 1.90, 1.63 | -0.02, -0.00, 0.24 | -0.01, -0.01, 0.00
1.96, 1.91, 1.82 | 1.96, 1.90, 1.63 | -0.01, -0.03, 0.22 | -0.01, -0.02, 0.00
1.94, 1.91, 1.79 | 1.95, 1.90, 1.63 | 0.00, 0.02, 0.23 | -0.00, 0.01, 0.00
1.94, 1.91, 1.82 | 1.95, 1.90, 1.63 | -0.00, 0.02, 0.24 | -0.00, 0.02, 0.00
1.95, 1.90, 1.83 | 1.95, 1.90, 1.63 | -0.02, -0.00, 0.22 | -0.01, 0.00, 0.00
1.95, 1.90, 1.83 | 1.95, 1.89, 1.63 | -0.00, -0.01, 0.22 | -0.01, -0.01, 0.00
1.97, 1.95, 1.79 | 1.95, 1.90, 1.63 | -0.01, 0.02, 0.23 | -0.01, 0.01, 0.00
1.96, 1.93, 1.75 | 1.95, 1.91, 1.63 | -0.00, 0.04, 0.23 | -0.01, 0.03, 0.00
1.97, 1.94, 1.78 | 1.95, 1.91, 1.63 | 0.01, 0.00, 0.21 | -0.00, 0.01, 0.00
1.95, 1.94, 1.73 | 1.95, 1.92, 1.63 | -0.00, 0.01, 0.21 | -0.00, 0.01, 0.00
1.96, 1.93, 1.73 | 1.95, 1.92, 1.63 | -0.01, 0.00, 0.23 | -0.01, 0.00, 0.00
1.96, 1.92, 1.77 | 1.95, 1.92, 1.63 | -0.00, 0.01, 0.22 | -0.01, 0.01, 0.00
1.95, 1.93, 1.78 | 1.95, 1.92, 1.63 | -0.01, 0.02, 0.21 | -0.01, 0.02, 0.00
1.94, 1.92, 1.81 | 1.95, 1.92, 1.63 | 0.00, -0.05, 0.22 | -0.00, -0.04, 0.00
1.94, 1.91, 1.82 | 1.95, 1.92, 1.63 | -0.01, -0.06, 0.22 | -0.00, -0.05, 0.00
1.95, 1.92, 1.81 | 1.95, 1.92, 1.63 | 0.00, -0.03, 0.22 | -0.00, -0.03, 0.00
1.95, 1.94, 1.79 | 1.95, 1.92, 1.63 | 0.01, -0.02, 0.24 | 0.00, -0.02, 0.00
1.96, 1.92, 1.82 | 1.95, 1.92, 1.63 | -0.01, -0.02, 0.21 | -0.00, -0.02, 0.00
1.95, 1.91, 1.84 | 1.95, 1.92, 1.63 | -0.02, -0.02, 0.23 | -0.01, -0.02, 0.00
1.95, 1.90, 1.81 | 1.95, 1.91, 1.63 | -0.02, -0.02, 0.25 | -0.01, -0.02, 0.00
1.96, 1.91, 1.80 | 1.95, 1.91, 1.63 | -0.01, -0.01, 0.22 | -0.01, -0.01, 0.00
1.99, 2.00, 1.67 | 1.95, 1.93, 1.63 | 0.00, 0.00, 0.23 | -0.01, -0.00, 0.00
1.96, 1.98, 1.66 | 1.95, 1.94, 1.63 | -0.00, -0.01, 0.24 | -0.00, -0.01, 0.00
1.94, 1.97, 1.67 | 1.95, 1.94, 1.63 | -0.01, -0.01, 0.23 | -0.01, -0.01, 0.00
1.94, 1.95, 1.69 | 1.95, 1.94, 1.63 | -0.00, 0.01, 0.21 | -0.01, 0.01, 0.00
1.94, 1.95, 1.74 | 1.95, 1.95, 1.63 | 0.01, 0.01, 0.21 | -0.00, 0.01, 0.00
1.95, 1.94, 1.78 | 1.95, 1.95, 1.63 | -0.00, 0.00, 0.25 | -0.00, 0.00, 0.00
1.94, 1.93, 1.82 | 1.94, 1.94, 1.63 | -0.01, 0.00, 0.23 | -0.01, 0.00, 0.00
1.96, 1.92, 1.83 | 1.94, 1.94, 1.63 | -0.00, 0.01, 0.23 | -0.01, 0.01, 0.00
1.96, 1.91, 1.84 | 1.95, 1.93, 1.63 | 0.00, -0.00, 0.23 | -0.00, -0.00, 0.00
1.97, 1.89, 1.85 | 1.95, 1.92, 1.63 | 0.01, -0.00, 0.23 | 0.00, -0.00, 0.00
1.95, 1.91, 1.82 | 1.95, 1.92, 1.63 | 0.01, -0.01, 0.23 | 0.00, -0.01, 0.00
1.95, 1.92, 1.79 | 1.95, 1.92, 1.63 | -0.00, 0.02, 0.22 | 0.00, 0.02, 0.00
1.95, 1.91, 1.80 | 1.95, 1.91, 1.63 | -0.01, 0.02, 0.21 | -0.00, 0.02, 0.00
1.97, 1.90, 1.81 | 1.95, 1.91, 1.63 | -0.01, 0.00, 0.23 | -0.01, 0.01, 0.00
1.95, 1.88, 1.83 | 1.95, 1.90, 1.63 | -0.01, -0.00, 0.22 | -0.01, -0.00, 0.00
