1.02, 2.05, 1.79 | 1.01, 2.05, 1.79 | -0.04, 0.00, 0.74 | -0.04, 0.00, 0.00
1.02, 2.01, 1.71 | 1.01, 2.03, 1.79 | 0.02, 0.05, 0.12 | -0.01, 0.04, 0.00
0.99, 2.02, 1.75 | 1.01, 2.03, 1.79 | 0.01, 0.02, 0.20 | -0.00, 0.02, 0.00
0.99, 2.02, 1.78 | 1.01, 2.03, 1.79 | 0.02, 0.04, 0.20 | 0.01, 0.04, 0.00
0.99, 2.05, 1.83 | 1.00, 2.03, 1.79 | 0.03, 0.03, 0.20 | 0.02, 0.03, 0.00
1.00, 2.02, 1.74 | 1.00, 2.03, 1.79 | 0.02, 0.02, 0.21 | 0.02, 0.02, 0.00
0.99, 2.03, 1.73 | 1.00, 2.03, 1.79 | 0.02, 0.02, 0.20 | 0.02, 0.02, 0.00
1.00, 2.02, 1.66 | 1.00, 2.03, 1.79 | 0.02, 0.02, 0.23 | 0.02, 0.02, 0.00
1.00, 2.00, 1.65 | 1.00, 2.02, 1.79 | 0.03, -0.04, 0.20 | 0.02, -0.03, 0.00
0.99, 2.02, 1.66 | 1.00, 2.02, 1.79 | 0.01, 0.02, 0.21 | 0.02, 0.02, 0.00
0.99, 2.02, 1.69 | 1.00, 2.02, 1.79 | 0.01, 0.03, 0.21 | 0.01, 0.02, 0.00
0.96, 2.02, 1.71 | 0.99, 2.02, 1.79 | 0.02, 0.01, 0.22 | 0.02, 0.02, -0.00
0.98, 1.98, 1.65 | 0.99, 2.01, 1.79 | 0.01, -0.01, 0.21 | 0.02, -0.01, -0.00
0.96, 2.00, 1.69 | 0.98, 2.01, 1.79 | 0.02, -0.01, 0.21 | 0.02, -0.01, -0.00
0.94, 2.01, 1.73 | 0.97, 2.01, 1.79 | 0.01, 0.00, 0.21 | 0.02, 0.00, -0.00
0.97, 2.01, 1.72 | 0.97, 2.01, 1.79 | 0.00, -0.01, 0.19 | 0.01, -0.01, -0.00
0.97, 2.00, 1.73 | 0.97, 2.01, 1.79 | 0.01, 0.01, 0.21 | 0.01, 0.01, -0.00
0.97, 2.00, 1.74 | 0.97, 2.00, 1.79 | 0.01, -0.01, 0.20 | 0.01, -0.01, -0.00
0.97, 1.98, 1.68 | 0.97, 2.00, 1.79 | 0.01, -0.02, 0.22 | 0.01, -0.02, -0.00
0.97, 1.99, 1.72 | 0.97, 2.00, 1.79 | -0.01, -0.00, 0.22 | 0.00, -0.01, -0.00
0.97, 1.99, 1.73 | 0.97, 1.99, 1.79 | 0.00, -0.01, 0.20 | 0.00, -0.01, -0.00
0.99, 1.98, 1.69 | 0.97, 1.99, 1.79 | 0.01, -0.00, 0.22 | 0.01, -0.00, -0.00
0.98, 1.98, 1.68 | 0.97, 1.98, 1.79 | 0.00, 0.01, 0.24 | 0.00, 0.01, -0.00
0.98, 2.00, 1.72 | 0.97, 1.99, 1.79 | 0.00, -0.00, 0.22 | 0.00, -0.00, -0.00
0.99, 1.99, 1.65 | 0.98, 1.99, 1.79 | 0.00, -0.01, 0.20 | 0.00, -0.01, -0.00
0.98, 2.00, 1.67 | 0.98, 1.99, 1.79 | 0.00, -0.01, 0.22 | 0.00, -0.01, -0.00
1.00, 1.97, 1.63 | 0.98, 1.98, 1.79 | 0.01, 0.02, 0.25 | 0.00, 0.02, -0.00
