1.95, 1.96, 1.78 | 1.94, 1.96, 1.81 | 0.14, -0.00, -0.94 | 0.12, -0.00, -0.00
1.95, 1.95, 1.77 | 1.94, 1.96, 1.81 | 0.01, -0.02, 0.25 | 0.06, -0.02, -0.00
1.95, 1.96, 1.78 | 1.94, 1.96, 1.81 | -0.05, -0.02, 0.21 | 0.01, -0.02, -0.00
1.94, 1.96, 1.77 | 1.94, 1.96, 1.81 | 0.00, -0.01, 0.20 | 0.01, -0.01, -0.00
1.95, 1.95, 1.79 | 1.95, 1.96, 1.81 | -0.02, 0.00, 0.21 | -0.00, -0.00, -0.00
1.94, 1.97, 1.77 | 1.94, 1.96, 1.81 | -0.02, -0.00, 0.21 | -0.01, -0.00, -0.00
2.00, 1.91, 1.86 | 1.95, 1.95, 1.81 | -0.01, 0.00, 0.21 | -0.01, 0.00, 0.00
1.98, 1.92, 1.86 | 1.96, 1.94, 1.81 | 0.00, 0.01, 0.21 | -0.01, 0.01, 0.00
1.97, 1.94, 1.82 | 1.96, 1.94, 1.81 | -0.01, 0.01, 0.20 | -0.01, 0.01, 0.00
1.97, 1.94, 1.79 | 1.97, 1.94, 1.81 | 0.00, -0.00, 0.21 | -0.00, 0.00, 0.00
1.97, 1.94, 1.81 | 1.97, 1.94, 1.81 | -0.02, -0.01, 0.20 | -0.01, -0.01, 0.00
1.96, 1.93, 1.80 | 1.97, 1.93, 1.81 | -0.01, 0.00, 0.20 | -0.01, 0.00, 0.00
1.96, 1.93, 1.80 | 1.97, 1.93, 1.81 | -0.01, 0.00, 0.20 | -0.01, 0.00, 0.00
1.95, 1.93, 1.81 | 1.96, 1.93, 1.81 | -0.01, 0.01, 0.20 | -0.01, 0.01, 0.00
1.96, 1.93, 1.81 | 1.96, 1.93, 1.81 | -0.02, -0.01, 0.24 | -0.01, -0.00, 0.00
1.96, 1.93, 1.81 | 1.96, 1.93, 1.81 | -0.02, 0.01, 0.23 | -0.02, 0.01, 0.00
1.98, 1.93, 1.82 | 1.97, 1.93, 1.81 | -0.00, 0.01, 0.21 | -0.01, 0.01, 0.00
1.97, 1.94, 1.83 | 1.97, 1.93, 1.81 | -0.00, 0.00, 0.21 | -0.01, 0.00, 0.00
1.97, 1.95, 1.82 | 1.97, 1.93, 1.81 | -0.01, 0.01, 0.22 | -0.01, 0.01, 0.00
1.97, 1.95, 1.82 | 1.97, 1.93, 1.81 | -0.00, 0.01, 0.22 | -0.01, 0.01, 0.00
1.94, 1.93, 1.84 | 1.96, 1.93, 1.81 | -0.00, 0.01, 0.21 | -0.01, 0.01, 0.00
1.95, 1.95, 1.82 | 1.96, 1.94, 1.81 | 0.00, 0.00, 0.21 | -0.00, 0.00, 0.00
1.95, 1.95, 1.82 | 1.96, 1.94, 1.81 | -0.01, -0.00, 0.22 | -0.01, -0.00, 0.00
1.94, 1.96, 1.79 | 1.96, 1.94, 1.81 | 0.01, -0.01, 0.21 | -0.00, -0.01, 0.00
1.95, 1.96, 1.77 | 1.95, 1.95, 1.81 | -0.01, 0.02, 0.22 | -0.00, 0.01, 0.00
1.96, 1.96, 1.78 | 1.95, 1.95, 1.81 | -0.01, 0.01, 0.21 | -0.00, 0.01, 0.00
1.95, 1.98, 1.78 | 1.95, 1.95, 1.81 | 0.01, -0.01, 0.22 | -0.00, -0.01, 0.00
1.95, 1.97, 1.79 | 1.95, 1.96, 1.81 | -0.01, 0.00, 0.22 | -0.00, 0.00, -0.00
1.96, 1.97, 1.78 | 1.95, 1.96, 1.81 | -0.00, -0.01, 0.22 | -0.00, -0.01, -0.00
1.95, 1.98, 1.78 | 1.95, 1.97, 1.81 | -0.01, -0.01, 0.21 | -0.00, -0.01, -0.00
1.96, 1.97, 1.81 | 1.95, 1.97, 1.81 | -0.02, -0.00, 0.20 | -0.01, -0.00, -0.00
1.96, 1.97, 1.79 | 1.95, 1.97, 1.81 | 0.00, 0.00, 0.22 | -0.01, 0.00, -0.00
1.97, 1.97, 1.78 | 1.95, 1.97, 1.81 | 0.01, -0.01, 0.21 | -0.00, -0.01, -0.00
1.96, 1.98, 1.79 | 1.95, 1.97, 1.81 | -0.00, 0.00, 0.21 | -0.00, 0.00, -0.00
1.97, 1.97, 1.77 | 1.96, 1.97, 1.81 | -0.02, -0.01, 0.22 | -0.01, -0.00, -0.00
1.97, 1.94, 1.80 | 1.96, 1.97, 1.81 | 0.02, -0.01, 0.21 | 0.00, -0.01, -0.00
1.97, 1.94, 1.80 | 1.96, 1.96, 1.81 | -0.02, -0.01, 0.22 | -0.01, -0.01, -0.00
1.97, 1.94, 1.80 | 1.96, 1.96, 1.81 | -0.02, 0.00, 0.22 | -0.01, 0.00, -0.00
1.97, 1.95, 1.80 | 1.96, 1.96, 1.81 | -0.02, 0.01, 0.24 | -0.02, 0.00, -0.00
1.96, 1.94, 1.80 | 1.96, 1.95, 1.81 | 0.00, -0.01, 0.22 | -0.01, -0.01, -0.00
1.95, 1.95, 1.83 | 1.96, 1.95, 1.81 | 0.00, 0.01, 0.22 | -0.00, 0.01, -0.00
1.96, 1.94, 1.85 | 1.96, 1.95, 1.81 | -0.01, -0.01, 0.22 | -0.01, -0.01, -0.00
1.96, 1.94, 1.84 | 1.96, 1.95, 1.81 | -0.02, -0.01, 0.21 | -0.01, -0.01, -0.00
1.96, 1.94, 1.83 | 1.96, 1.95, 1.81 | -0.00, -0.00, 0.23 | -0.01, -0.00, -0.00
1.96, 1.94, 1.80 | 1.96, 1.95, 1.81 | -0.01, 0.01, 0.21 | -0.01, 0.01, -0.00
1.95, 1.93, 1.83 | 1.96, 1.94, 1.81 | -0.00, 0.00, 0.21 | -0.01, 0.00, -0.00
1.96, 1.91, 1.85 | 1.96, 1.93, 1.81 | 0.01, 0.01, 0.21 | -0.00, 0.01, 0.00
1.96, 1.92, 1.82 | 1.96, 1.93, 1.81 | 0.00, -0.01, 0.21 | 0.00, -0.00, 0.00
1.96, 1.93, 1.82 | 1.96, 1.93, 1.81 | 0.00, -0.00, 0.19 | 0.00, -0.00, 0.00
1.96, 1.94, 1.81 | 1.95, 1.93, 1.81 | 0.00, 0.01, 0.21 | 0.00, 0.01, 0.00
1.97, 1.93, 1.80 | 1.96, 1.93, 1.81 | -0.00, -0.00, 0.21 | -0.00, -0.00, 0.00
1.98, 1.92, 1.81 | 1.96, 1.92, 1.81 | 0.01, 0.00, 0.22 | 0.00, 0.00, -0.00
1.97, 1.94, 1.79 | 1.96, 1.93, 1.81 | 0.01, 0.01, 0.23 | 0.01, 0.01, -0.00
1.95, 1.96, 1.79 | 1.96, 1.93, 1.81 | -0.01, -0.00, 0.22 | -0.00, 0.00, -0.00
1.94, 1.97, 1.78 | 1.96, 1.94, 1.81 | -0.00, 0.01, 0.22 | -0.00, 0.01, -0.00
1.94, 1.97, 1.78 | 1.95, 1.94, 1.81 | 0.00, 0.00, 0.23 | 0.00, 0.00, -0.00
1.92, 1.95, 1.80 | 1.95, 1.94, 1.81 | -0.02, 0.02, 0.22 | -0.01, 0.02, -0.00
1.93, 1.95, 1.81 | 1.94, 1.95, 1.81 | -0.01, -0.01, 0.23 | -0.01, -0.01, -0.00
1.92, 1.94, 1.76 | 1.94, 1.94, 1.81 | -0.02, 0.01, 0.23 | -0.01, 0.01, -0.00
1.93, 1.94, 1.75 | 1.93, 1.94, 1.81 | -0.01, -0.01, 0.22 | -0.01, -0.01, -0.00
1.93, 1.94, 1.75 | 1.93, 1.94, 1.81 | -0.01, 0.01, 0.23 | -0.01, 0.01, -0.00
1.94, 1.95, 1.74 | 1.93, 1.94, 1.81 | 0.00, -0.02, 0.22 | -0.01, -0.02, -0.00
1.93, 1.96, 1.75 | 1.93, 1.95, 1.81 | -0.01, 0.01, 0.21 | -0.01, 0.01, -0.00
1.93, 1.97, 1.76 | 1.93, 1.95, 1.81 | 0.00, -0.01, 0.24 | -0.01, -0.00, -0.00
1.93, 1.96, 1.76 | 1.93, 1.95, 1.81 | -0.01, -0.00, 0.21 | -0.01, -0.00, -0.00
1.94, 1.94, 1.79 | 1.93, 1.95, 1.81 | -0.00, -0.00, 0.22 | -0.01, -0.00, -0.00
1.94, 1.94, 1.76 | 1.93, 1.95, 1.81 | -0.03, -0.00, 0.22 | -0.01, -0.00, -0.00
