1.05, 2.56, 1.61 | 1.04, 2.56, 1.63 | -0.54, -1.01, 0.26 | -0.53, -1.00, 0.00
1.05, 2.59, 1.60 | 1.04, 2.58, 1.63 | 0.12, -0.35, -1.34 | 0.11, -0.35, -0.00
1.09, 2.62, 1.62 | 1.06, 2.61, 1.63 | -0.55, -0.27, 0.66 | -0.53, -0.27, -0.00
1.11, 2.61, 1.60 | 1.08, 2.60, 1.63 | -0.01, -0.51, 0.78 | -0.02, -0.51, 0.00
1.12, 2.59, 1.58 | 1.10, 2.59, 1.63 | -0.07, -0.35, -0.91 | -0.07, -0.35, -0.00
1.14, 2.59, 1.52 | 1.12, 2.58, 1.63 | -1.02, 0.06, 1.00 | -1.01, 0.06, 0.00
1.12, 2.57, 1.62 | 1.12, 2.56, 1.63 | -0.04, 0.22, -0.71 | -0.07, 0.22, -0.00
1.12, 2.57, 1.59 | 1.11, 2.56, 1.63 | 0.38, -0.19, -0.17 | 0.34, -0.19, -0.00
1.16, 2.58, 1.57 | 1.13, 2.56, 1.63 | -0.14, -0.47, 0.33 | -0.12, -0.47, -0.00
1.15, 2.59, 1.56 | 1.14, 2.59, 1.63 | -0.37, -0.78, 1.49 | -0.36, -0.78, 0.00
1.17, 2.59, 1.51 | 1.15, 2.58, 1.63 | 0.12, -0.10, 0.68 | 0.10, -0.10, 0.00
1.19, 2.62, 1.55 | 1.17, 2.60, 1.63 | -0.46, -0.42, 0.62 | -0.45, -0.42, 0.00
1.16, 2.58, 1.61 | 1.16, 2.58, 1.63 | -0.51, 0.02, -0.30 | -0.50, 0.02, 0.00
1.19, 2.61, 1.62 | 1.17, 2.59, 1.63 | -0.22, -0.23, 0.42 | -0.24, -0.23, 0.00
1.19, 2.60, 1.60 | 1.17, 2.59, 1.63 | 0.09, -0.05, -0.11 | -0.02, -0.06, 0.00
1.18, 2.59, 1.59 | 1.17, 2.58, 1.63 | -0.53, -0.59, -0.46 | -0.52, -0.58, 0.00
