1.11, 3.19, 1.34 | 1.07, 3.20, 1.32 | -0.59, 1.33, 0.46 | -0.59, 1.33, 0.00
1.19, 3.13, 1.31 | 1.17, 3.14, 1.32 | -0.81, 1.53, 2.24 | -0.80, 1.53, 0.00
1.28, 3.10, 1.29 | 1.22, 3.12, 1.32 | -0.16, 0.63, 0.42 | -0.18, 0.63, 0.00
1.33, 3.03, 1.29 | 1.28, 3.06, 1.32 | 0.07, -0.59, 0.83 | 0.06, -0.59, 0.00
1.34, 2.93, 1.32 | 1.31, 2.98, 1.32 | -0.53, 0.17, -0.21 | -0.50, 0.17, 0.00
1.39, 2.85, 1.38 | 1.36, 2.88, 1.32 | -1.04, -0.02, 0.36 | -1.03, -0.01, 0.00
1.37, 2.71, 1.51 | 1.36, 2.74, 1.32 | -1.29, 0.51, -0.40 | -1.29, 0.51, 0.00
1.38, 2.64, 1.54 | 1.37, 2.66, 1.32 | -0.49, 0.70, -0.17 | -0.51, 0.70, 0.00
1.36, 2.54, 1.61 | 1.36, 2.56, 1.32 | 0.22, -0.43, -1.22 | 0.21, -0.43, 0.00
1.36, 2.49, 1.61 | 1.35, 2.49, 1.32 | 0.72, 0.14, -1.03 | 0.72, 0.14, 0.00
1.39, 2.47, 1.63 | 1.37, 2.46, 1.32 | 0.93, -0.27, 0.01 | 0.92, -0.27, 0.00
1.39, 2.41, 1.65 | 1.38, 2.42, 1.32 | 0.24, 0.25, -0.33 | 0.29, 0.25, 0.00
1.38, 2.36, 1.70 | 1.38, 2.36, 1.32 | 0.70, 1.39, -0.22 | 0.70, 1.39, 0.00
1.41, 2.34, 1.73 | 1.40, 2.34, 1.32 | 0.32, -0.34, -1.11 | 0.32, -0.34, 0.00
1.44, 2.30, 1.68 | 1.43, 2.30, 1.32 | 0.21, -1.03, 0.16 | 0.21, -1.03, 0.00
1.44, 2.26, 1.73 | 1.44, 2.26, 1.32 | -0.27, -1.38, 0.37 | -0.26, -1.38, 0.00
1.46, 2.24, 1.71 | 1.46, 2.23, 1.33 | -0.54, 0.21, 0.84 | -0.53, 0.21, 0.00
1.45, 2.22, 1.74 | 1.46, 2.21, 1.33 | -0.57, -0.27, 0.82 | -0.57, -0.27, 0.01
1.46, 2.23, 1.73 | 1.47, 2.20, 1.33 | -0.13, -0.43, -0.26 | -0.16, -0.43, 0.01
1.47, 2.22, 1.71 | 1.47, 2.20, 1.33 | -0.18, -0.53, -0.63 | -0.18, -0.53, 0.01
1.46, 2.21, 1.71 | 1.47, 2.19, 1.34 | -0.31, -0.39, -0.20 | -0.30, -0.39, 0.01
1.49, 2.19, 1.67 | 1.48, 2.18, 1.34 | -0.08, 0.08, -0.61 | -0.09, 0.08, 0.01
1.48, 2.19, 1.65 | 1.48, 2.17, 1.34 | 0.02, -0.49, -0.13 | 0.01, -0.48, 0.01
1.49, 2.20, 1.69 | 1.48, 2.19, 1.35 | 0.02, -1.20, 0.13 | 0.02, -1.20, 0.01
1.47, 2.19, 1.73 | 1.48, 2.17, 1.35 | -0.42, -0.49, 0.39 | -0.41, -0.49, 0.01
1.48, 2.21, 1.74 | 1.48, 2.18, 1.36 | -0.49, 0.16, 0.61 | -0.49, 0.16, 0.01
1.50, 2.19, 1.67 | 1.49, 2.18, 1.37 | -0.32, 0.64, 0.79 | -0.32, 0.64, 0.01
1.53, 2.19, 1.66 | 1.50, 2.17, 1.38 | 0.20, -0.01, 0.50 | 0.17, -0.01, 0.01
1.52, 2.19, 1.69 | 1.51, 2.18, 1.39 | 0.30, 0.41, 0.36 | 0.29, 0.41, 0.02
1.50, 2.16, 1.73 | 1.50, 2.16, 1.40 | -0.08, 0.05, -0.33 | -0.03, 0.05, 0.02
1.52, 2.14, 1.72 | 1.51, 2.14, 1.41 | 0.67, 0.04, -0.31 | 0.65, 0.04, 0.02
1.52, 2.14, 1.73 | 1.52, 2.13, 1.42 | 0.84, 0.35, -0.55 | 0.84, 0.35, 0.02
1.54, 2.13, 1.71 | 1.53, 2.13, 1.43 | -0.89, 0.09, -0.55 | -0.86, 0.09, 0.02
1.53, 2.13, 1.76 | 1.53, 2.12, 1.45 | -0.95, -0.42, -0.32 | -0.95, -0.42, 0.02
1.52, 2.10, 1.77 | 1.52, 2.11, 1.46 | 0.51, -0.93, -0.61 | 0.49, -0.93, 0.02
1.53, 2.10, 1.77 | 1.53, 2.10, 1.49 | -0.15, -0.73, 1.51 | -0.14, -0.73, 0.02
1.51, 2.13, 1.80 | 1.51, 2.12, 1.51 | -1.16, 0.51, 0.63 | -1.15, 0.50, 0.03
1.51, 2.13, 1.74 | 1.51, 2.12, 1.52 | -1.24, 2.47, -0.40 | -1.24, 2.47, 0.03
1.52, 2.11, 1.73 | 1.51, 2.11, 1.54 | 0.67, 0.13, -0.80 | 0.64, 0.13, 0.03
1.54, 2.09, 1.72 | 1.53, 2.09, 1.55 | 1.25, -1.04, -0.89 | 1.25, -1.04, 0.03
1.53, 2.10, 1.79 | 1.53, 2.10, 1.56 | 1.46, -0.38, -2.02 | 1.46, -0.38, 0.03
1.53, 2.09, 1.74 | 1.53, 2.09, 1.58 | -0.01, -1.66, -0.99 | -0.00, -1.66, 0.03
1.52, 2.09, 1.73 | 1.53, 2.08, 1.60 | -0.43, -0.62, 0.17 | -0.41, -0.63, 0.03
1.52, 2.08, 1.72 | 1.52, 2.07, 1.62 | -0.93, 1.57, 1.23 | -0.92, 1.57, 0.03
1.53, 2.05, 1.68 | 1.52, 2.05, 1.63 | 0.12, 0.49, -0.33 | 0.06, 0.49, 0.03
