1.01, 3.90, 1.57 | 1.00, 3.90, 1.57 | 0.04, 0.01, -0.00 | 0.04, 0.01, -0.00
1.05, 3.85, 1.41 | 1.01, 3.89, 1.57 | 0.03, -0.00, -0.04 | 0.03, 0.00, -0.00
1.03, 3.86, 1.44 | 1.01, 3.88, 1.57 | 0.03, 0.01, -0.03 | 0.03, 0.01, -0.00
0.99, 3.93, 1.52 | 1.01, 3.89, 1.57 | 0.03, 0.02, -0.01 | 0.03, 0.02, -0.00
1.00, 3.91, 1.52 | 1.01, 3.89, 1.57 | 0.02, 0.00, -0.03 | 0.03, 0.01, -0.00
1.05, 3.88, 1.37 | 1.02, 3.89, 1.57 | 0.03, 0.00, -0.04 | 0.03, 0.01, -0.00
1.10, 3.81, 1.28 | 1.03, 3.88, 1.57 | 0.02, 0.01, -0.03 | 0.03, 0.01, -0.00
1.05, 3.88, 1.40 | 1.04, 3.88, 1.57 | 0.02, -0.00, -0.02 | 0.03, 0.00, -0.00
1.03, 3.90, 1.47 | 1.04, 3.88, 1.57 | 0.01, -0.00, -0.03 | 0.02, -0.00, -0.00
1.03, 3.90, 1.48 | 1.04, 3.88, 1.57 | 0.01, 0.00, -0.03 | 0.02, 0.00, -0.00
1.03, 3.91, 1.51 | 1.04, 3.89, 1.57 | 0.01, -0.01, -0.01 | 0.02, -0.00, -0.00
1.01, 3.91, 1.56 | 1.04, 3.89, 1.57 | 0.02, -0.01, -0.02 | 0.02, -0.01, -0.00
1.01, 3.91, 1.57 | 1.04, 3.90, 1.57 | 0.02, 0.01, -0.04 | 0.02, 0.00, -0.00
1.01, 3.88, 1.51 | 1.04, 3.89, 1.57 | 0.02, 0.01, -0.03 | 0.02, 0.00, -0.00
1.03, 3.87, 1.49 | 1.04, 3.89, 1.57 | 0.01, 0.01, -0.03 | 0.02, 0.01, -0.00
1.05, 3.85, 1.43 | 1.04, 3.87, 1.57 | -0.13, -0.19, 0.64 | -0.12, -0.19, -0.00
1.05, 3.85, 1.41 | 1.05, 3.86, 1.57 | 0.46, -0.39, -0.71 | 0.44, -0.39, -0.00
1.05, 3.86, 1.43 | 1.05, 3.86, 1.57 | -1.46, 0.48, 0.01 | -1.44, 0.48, -0.00
1.05, 3.86, 1.46 | 1.05, 3.86, 1.58 | -1.86, -0.13, 3.64 | -1.86, -0.13, 0.00
1.05, 3.85, 1.44 | 1.05, 3.85, 1.58 | -2.48, -2.34, 0.51 | -2.48, -2.34, 0.00
1.03, 3.86, 1.50 | 1.02, 3.85, 1.58 | -0.64, -1.30, -0.07 | -0.65, -1.30, 0.00
0.97, 3.87, 1.60 | 0.97, 3.86, 1.58 | -0.46, -0.33, 0.49 | -0.46, -0.34, 0.00
0.85, 3.85, 1.76 | 0.87, 3.85, 1.58 | 0.01, 1.69, 1.05 | 0.01, 1.69, 0.00
0.75, 3.83, 1.85 | 0.76, 3.83, 1.58 | 0.49, -1.66, -1.90 | 0.49, -1.66, 0.00
0.72, 3.75, 1.87 | 0.71, 3.76, 1.58 | 1.34, -0.10, -0.46 | 1.33, -0.10, 0.00
0.76, 3.63, 1.76 | 0.73, 3.64, 1.58 | 1.49, 0.63, -0.77 | 1.49, 0.63, 0.00
0.76, 3.44, 1.59 | 0.75, 3.45, 1.59 | -0.44, 3.03, 0.18 | -0.43, 3.03, 0.00
0.82, 3.34, 1.53 | 0.80, 3.35, 1.58 | 1.98, 0.72, -0.45 | 1.97, 0.72, 0.00
0.87, 3.26, 1.52 | 0.85, 3.27, 1.59 | -0.41, 1.22, 0.77 | -0.39, 1.22, 0.00
0.94, 3.19, 1.50 | 0.92, 3.20, 1.59 | -0.99, 1.44, 0.97 | -0.99, 1.44, 0.00
0.98, 3.11, 1.51 | 0.96, 3.12, 1.59 | -0.92, 0.15, 0.14 | -0.92, 0.15, 0.00
1.07, 3.03, 1.53 | 1.04, 3.04, 1.59 | -0.71, 1.00, -0.39 | -0.72, 1.00, 0.00
1.12, 2.92, 1.54 | 1.10, 2.93, 1.59 | -1.78, 1.50, 0.91 | -1.78, 1.50, 0.00
1.16, 2.88, 1.56 | 1.15, 2.89, 1.59 | -0.91, 0.75, 0.16 | -0.92, 0.75, 0.00
1.22, 2.83, 1.57 | 1.19, 2.84, 1.59 | 0.01, 0.41, -0.60 | -0.02, 0.41, 0.00
1.25, 2.80, 1.59 | 1.22, 2.80, 1.59 | -0.35, -0.61, 0.19 | -0.34, -0.61, 0.00
