1.02, 3.09, 1.56 | 1.00, 3.10, 1.56 | -0.73, 1.11, -0.57 | -0.72, 1.11, -0.00
1.04, 3.01, 1.58 | 1.02, 3.02, 1.56 | 0.63, 0.93, -1.43 | 0.62, 0.93, -0.00
1.06, 2.94, 1.60 | 1.05, 2.96, 1.56 | -1.08, 1.08, -0.35 | -1.07, 1.08, -0.00
1.11, 2.89, 1.62 | 1.08, 2.92, 1.56 | 0.13, 0.76, 0.40 | 0.10, 0.76, -0.00
1.07, 2.79, 1.68 | 1.07, 2.85, 1.56 | 0.04, -0.52, -0.28 | 0.04, -0.51, -0.00
1.07, 2.73, 1.63 | 1.07, 2.78, 1.56 | -0.19, -0.55, 0.36 | -0.18, -0.55, -0.00
1.07, 2.69, 1.54 | 1.07, 2.70, 1.56 | 1.11, -1.02, -0.44 | 1.10, -1.02, -0.00
0.98, 2.74, 1.73 | 1.01, 2.73, 1.56 | -0.17, -0.57, 1.42 | -0.16, -0.57, -0.00
0.98, 2.70, 1.69 | 0.99, 2.70, 1.56 | -0.38, -1.41, 0.51 | -0.38, -1.41, -0.00
1.01, 2.64, 1.60 | 1.00, 2.64, 1.56 | -0.39, -0.61, -0.30 | -0.39, -0.61, -0.00
1.01, 2.60, 1.63 | 1.00, 2.59, 1.56 | 1.08, -0.53, 0.17 | 1.06, -0.53, -0.00
1.00, 2.52, 1.65 | 1.00, 2.53, 1.56 | -0.24, -0.10, -0.46 | -0.16, -0.10, -0.00
1.01, 2.48, 1.66 | 1.00, 2.47, 1.56 | 0.31, 0.00, 0.50 | 0.28, 0.00, -0.00
1.04, 2.42, 1.60 | 1.02, 2.42, 1.56 | 0.09, 0.04, -0.02 | 0.17, 0.04, -0.00
1.02, 2.40, 1.65 | 1.02, 2.38, 1.56 | -0.23, 0.13, 0.06 | -0.16, 0.13, 0.00
1.01, 2.39, 1.71 | 1.02, 2.36, 1.56 | -0.47, 0.05, 0.09 | -0.44, 0.05, 0.00
0.98, 2.33, 1.68 | 1.00, 2.33, 1.56 | -0.77, -0.09, -0.77 | -0.76, -0.09, -0.00
0.96, 2.30, 1.65 | 0.98, 2.30, 1.56 | -0.27, -0.17, -0.20 | -0.32, -0.17, -0.00
0.94, 2.29, 1.66 | 0.95, 2.27, 1.56 | -0.35, 0.03, -0.18 | -0.34, 0.02, -0.00
0.92, 2.22, 1.64 | 0.93, 2.22, 1.56 | -0.11, -0.16, -0.78 | -0.12, -0.16, -0.00
0.90, 2.20, 1.63 | 0.91, 2.19, 1.56 | 0.31, -0.12, -0.37 | 0.28, -0.12, -0.00
0.92, 2.17, 1.64 | 0.90, 2.16, 1.56 | -0.39, -0.32, -0.15 | -0.35, -0.32, -0.00
0.88, 2.14, 1.60 | 0.88, 2.13, 1.56 | -0.07, -0.16, -0.11 | -0.14, -0.16, -0.00
0.86, 2.15, 1.60 | 0.86, 2.12, 1.56 | -0.37, -0.05, -0.27 | -0.35, -0.05, -0.00
0.81, 2.10, 1.55 | 0.82, 2.09, 1.56 | 0.27, -0.24, -0.05 | 0.20, -0.24, -0.00
0.82, 2.08, 1.55 | 0.80, 2.06, 1.56 | -0.22, -0.36, 0.16 | -0.19, -0.36, -0.00
0.85, 2.08, 1.53 | 0.80, 2.05, 1.56 | 0.12, -0.13, 0.02 | 0.03, -0.14, -0.00
0.87, 2.08, 1.50 | 0.81, 2.04, 1.56 | -0.01, -0.50, -0.02 | -0.00, -0.50, -0.00
0.87, 2.09, 1.48 | 0.82, 2.05, 1.56 | 0.25, -0.39, 0.03 | 0.23, -0.39, -0.00
0.88, 2.08, 1.49 | 0.83, 2.04, 1.56 | 0.16, -0.37, 0.27 | 0.17, -0.37, -0.00
0.90, 2.11, 1.58 | 0.85, 2.05, 1.55 | -0.16, -0.23, -0.19 | -0.11, -0.23, -0.00
0.85, 2.03, 1.44 | 0.85, 2.03, 1.55 | 0.67, 0.32, 0.21 | 0.64, 0.32, -0.00
0.90, 1.98, 1.48 | 0.88, 1.99, 1.55 | 0.05, 1.27, 0.27 | 0.05, 1.27, -0.00
0.92, 1.94, 1.51 | 0.90, 1.95, 1.55 | -0.45, 1.03, -0.33 | -0.44, 1.03, -0.00
0.89, 1.88, 1.44 | 0.90, 1.90, 1.54 | -0.07, 1.00, 0.09 | -0.07, 1.00, -0.00
0.93, 1.94, 1.58 | 0.92, 1.93, 1.55 | -0.42, 1.32, 0.16 | -0.41, 1.32, -0.00
0.96, 1.92, 1.60 | 0.94, 1.93, 1.55 | 0.26, 0.46, -0.07 | 0.22, 0.46, -0.00
0.97, 1.95, 1.64 | 0.95, 1.94, 1.55 | -0.30, 0.38, -0.22 | -0.27, 0.38, -0.00
0.99, 1.97, 1.64 | 0.97, 1.97, 1.55 | -0.76, -0.74, -0.24 | -0.75, -0.74, -0.00
1.05, 2.03, 1.69 | 1.01, 2.02, 1.55 | 0.05, -0.85, 0.32 | 0.03, -0.85, -0.00
1.05, 2.07, 1.71 | 1.03, 2.06, 1.56 | 0.21, -0.65, 0.25 | 0.21, -0.65, -0.00
1.06, 2.08, 1.69 | 1.05, 2.08, 1.57 | -0.61, -0.89, 0.07 | -0.60, -0.89, 0.00
1.06, 2.08, 1.63 | 1.06, 2.08, 1.57 | -0.22, -0.17, -0.08 | -0.28, -0.17, 0.00
1.02, 2.09, 1.67 | 1.04, 2.09, 1.57 | 0.75, 0.81, -0.70 | 0.74, 0.81, 0.00
1.01, 2.09, 1.65 | 1.02, 2.09, 1.58 | 1.27, 0.21, -0.04 | 1.27, 0.21, 0.00
1.01, 2.11, 1.64 | 1.02, 2.10, 1.58 | 0.68, 0.02, 0.18 | 0.70, 0.02, 0.00
1.01, 2.15, 1.68 | 1.02, 2.14, 1.59 | -0.09, 0.48, -0.54 | -0.07, 0.48, 0.00
0.97, 2.19, 1.78 | 0.99, 2.19, 1.60 | 0.97, -0.37, 1.72 | 0.96, -0.37, 0.00
0.91, 2.24, 1.95 | 0.95, 2.23, 1.62 | -0.39, -0.02, 0.59 | -0.34, -0.02, 0.00
0.91, 2.24, 1.98 | 0.93, 2.24, 1.65 | -0.07, 0.32, 1.51 | -0.07, 0.32, 0.01
0.95, 2.25, 1.98 | 0.95, 2.25, 1.67 | -0.41, -0.14, 1.45 | -0.41, -0.14, 0.01
0.98, 2.20, 1.86 | 0.97, 2.21, 1.68 | 1.22, -1.09, -0.33 | 1.20, -1.09, 0.01
0.94, 2.13, 1.71 | 0.95, 2.13, 1.68 | 0.99, 0.11, -2.17 | 0.99, 0.11, 0.01
