1.03, 3.82, 1.46 | 1.03, 3.82, 1.48 | 0.03, 0.08, 0.01 | 0.03, 0.08, 0.00
1.02, 3.83, 1.47 | 1.03, 3.82, 1.48 | 0.04, 0.05, -0.02 | 0.03, 0.07, -0.00
1.01, 3.82, 1.46 | 1.02, 3.82, 1.48 | 0.03, 0.06, -0.01 | 0.03, 0.06, -0.00
1.03, 3.82, 1.47 | 1.03, 3.83, 1.48 | 0.03, 0.05, -0.00 | 0.03, 0.06, -0.00
1.04, 3.81, 1.43 | 1.03, 3.82, 1.48 | 0.02, 0.05, -0.02 | 0.03, 0.05, -0.00
1.04, 3.82, 1.42 | 1.03, 3.83, 1.48 | 0.02, 0.06, -0.01 | 0.03, 0.06, -0.00
1.04, 3.81, 1.44 | 1.03, 3.83, 1.48 | 0.02, 0.03, -0.01 | 0.02, 0.05, -0.00
1.04, 3.82, 1.45 | 1.04, 3.83, 1.48 | 0.03, 0.02, -0.02 | 0.02, 0.04, -0.00
1.04, 3.81, 1.44 | 1.04, 3.83, 1.48 | 0.03, 0.03, -0.01 | 0.02, 0.03, -0.00
1.04, 3.83, 1.45 | 1.04, 3.83, 1.48 | 0.00, 0.03, -0.02 | 0.02, 0.03, -0.00
1.06, 3.81, 1.38 | 1.05, 3.83, 1.48 | 0.02, 0.02, -0.02 | 0.02, 0.03, -0.00
1.05, 3.82, 1.37 | 1.05, 3.83, 1.48 | 0.02, 0.02, -0.01 | 0.02, 0.03, -0.00
1.08, 3.87, 1.27 | 1.06, 3.84, 1.48 | 0.02, 0.03, -0.01 | 0.02, 0.03, -0.00
1.09, 3.84, 1.21 | 1.06, 3.85, 1.48 | 0.01, 0.02, -0.01 | 0.02, 0.03, -0.00
1.10, 3.85, 1.20 | 1.07, 3.85, 1.48 | 0.01, 0.02, -0.00 | 0.02, 0.02, -0.00
1.06, 3.87, 1.26 | 1.07, 3.86, 1.48 | 0.02, 0.01, 0.01 | 0.02, 0.02, -0.00
1.05, 3.90, 1.30 | 1.07, 3.87, 1.48 | -0.00, 0.01, -0.03 | 0.02, 0.02, -0.00
1.04, 3.94, 1.36 | 1.07, 3.88, 1.48 | 0.02, 0.01, -0.02 | 0.02, 0.02, -0.00
1.00, 3.97, 1.44 | 1.07, 3.90, 1.48 | 0.01, 0.02, -0.03 | 0.02, 0.02, -0.00
1.02, 3.96, 1.33 | 1.04, 3.94, 1.48 | 0.06, -2.12, 0.84 | 0.06, -2.11, -0.00
1.04, 3.94, 1.31 | 1.04, 3.94, 1.48 | 0.10, -0.70, 0.44 | 0.09, -0.72, -0.00
1.05, 3.92, 1.29 | 1.05, 3.92, 1.48 | 0.02, 0.09, -0.04 | 0.05, -0.18, -0.00
1.08, 3.92, 1.19 | 1.06, 3.91, 1.48 | -0.11, -0.55, -0.12 | -0.06, -0.54, -0.00
1.10, 3.92, 1.16 | 1.09, 3.91, 1.48 | -1.35, -1.91, 2.49 | -1.33, -1.91, -0.00
1.11, 3.97, 1.06 | 1.11, 3.95, 1.44 | -0.53, -0.79, 2.34 | -0.55, -0.79, -0.00
1.08, 3.85, 1.13 | 1.09, 3.87, 1.40 | -0.89, 0.47, 0.56 | -0.85, 0.46, -0.00
1.03, 3.89, 1.24 | 1.05, 3.86, 1.38 | -0.74, -0.60, -0.16 | -0.76, -0.59, -0.00
0.97, 3.89, 1.39 | 1.00, 3.86, 1.38 | 1.43, 0.40, -0.56 | 1.28, 0.40, -0.00
0.94, 3.86, 1.47 | 0.95, 3.84, 1.39 | 0.17, -0.10, -1.31 | 0.27, -0.10, -0.00
0.89, 3.84, 1.56 | 0.91, 3.83, 1.42 | 0.16, 1.02, 0.84 | 0.17, 1.01, -0.00
0.82, 3.85, 1.71 | 0.85, 3.83, 1.47 | 1.14, -0.89, 0.70 | 1.07, -0.88, -0.00
0.81, 3.79, 1.76 | 0.82, 3.79, 1.52 | -0.17, -0.16, -0.93 | 0.02, -0.17, -0.00
0.82, 3.72, 1.75 | 0.81, 3.74, 1.55 | 0.71, 0.06, 0.01 | 0.55, 0.06, -0.00
0.82, 3.62, 1.81 | 0.81, 3.65, 1.59 | 0.51, 1.25, -0.87 | 0.52, 1.25, -0.00
0.79, 3.51, 1.86 | 0.80, 3.54, 1.64 | 1.32, 0.54, -0.88 | 1.27, 0.54, -0.00
0.78, 3.41, 1.86 | 0.79, 3.45, 1.68 | 0.83, 0.33, -0.48 | 0.89, 0.33, -0.00
0.82, 3.30, 1.68 | 0.81, 3.36, 1.68 | 0.18, 0.87, -0.06 | 0.30, 0.86, -0.00
0.86, 3.23, 1.62 | 0.84, 3.28, 1.67 | 0.01, 0.24, -0.30 | 0.12, 0.28, -0.00
0.91, 3.16, 1.51 | 0.88, 3.20, 1.65 | -0.29, 0.88, 0.17 | -0.22, 0.87, -0.00
0.94, 3.13, 1.50 | 0.92, 3.14, 1.63 | -0.58, 0.50, -0.06 | -0.50, 0.50, -0.00
0.97, 3.08, 1.50 | 0.95, 3.09, 1.61 | 0.43, 0.79, 0.42 | 0.29, 0.78, -0.00
1.01, 3.02, 1.43 | 0.99, 3.04, 1.59 | 0.15, 0.45, 0.65 | 0.18, 0.45, -0.00
1.02, 2.98, 1.43 | 1.02, 3.00, 1.57 | 0.46, 0.31, 0.97 | 0.42, 0.31, -0.00
1.06, 2.94, 1.39 | 1.05, 2.95, 1.54 | -0.02, 0.17, 1.21 | 0.02, 0.17, -0.00
1.08, 2.90, 1.38 | 1.08, 2.91, 1.52 | 0.01, 0.74, -0.44 | 0.01, 0.74, -0.00
1.10, 2.87, 1.40 | 1.10, 2.88, 1.51 | -1.46, -0.41, -0.81 | -1.37, -0.41, -0.00
1.13, 2.83, 1.40 | 1.13, 2.83, 1.50 | -2.22, -1.90, -2.40 | -2.21, -1.90, -0.00
1.11, 2.83, 1.56 | 1.12, 2.82, 1.51 | -0.39, -1.05, -1.36 | -0.50, -1.05, -0.00
1.09, 2.83, 1.67 | 1.10, 2.81, 1.53 | -1.12, -0.64, -0.03 | -1.05, -0.64, -0.00
1.06, 2.85, 1.76 | 1.07, 2.81, 1.56 | 0.38, 0.36, 1.19 | 0.24, 0.35, -0.00
1.09, 2.82, 1.64 | 1.08, 2.81, 1.58 | 0.07, 0.41, 2.39 | 0.08, 0.41, -0.00
1.07, 2.82, 1.71 | 1.07, 2.80, 1.61 | 0.10, 0.20, -1.45 | 0.10, 0.20, -0.00
